projection_layer,human_pop_layer,scenario,sensitivity,year,mean_RVF_relative_likelihood,total_pop_size,pop_size_at_risk,prop_at_risk
historical_climate_1985,pd_2000,historical,0,1985,0.11954092990925054,86338616.08966085,49051636.77378054,0.5681309128564377
ACCESS-CM2_SSP126_2030,SSP1_2030,SSP126,0,2030,0.09651566368157105,182237789.9921421,78785240.85296002,0.4323210946333203
ACCESS-CM2_SSP126_2050,SSP1_2050,SSP126,0,2050,0.09388952236811691,234273097.04331276,89576884.93842675,0.3823609542407921
ACCESS-CM2_SSP126_2070,SSP1_2070,SSP126,0,2070,0.09339688435725779,262989553.11746946,92077867.95124629,0.3501198692486386
ACCESS-CM2_SSP245_2030,SSP2_2030,SSP245,0,2030,0.09716891746397159,195769209.13493404,86254410.69495243,0.44059232335919346
ACCESS-CM2_SSP245_2050,SSP2_2050,SSP245,0,2050,0.09184104039207705,276471532.001752,99527297.1181172,0.359991122404192
ACCESS-CM2_SSP245_2070,SSP2_2070,SSP245,0,2070,0.09036452907553046,341313107.45942736,105802511.23962997,0.3099866630589537
ACCESS-CM2_SSP370_2030,SSP3_2030,SSP370,0,2030,0.09472739326065872,211999622.18008378,92114174.61520141,0.43450159801206967
ACCESS-CM2_SSP370_2050,SSP3_2050,SSP370,0,2050,0.08901248441960558,333370478.3976805,115386406.36509377,0.3461206490739361
ACCESS-CM2_SSP370_2070,SSP3_2070,SSP370,0,2070,0.08846259423896413,458941074.3473349,127503969.2561431,0.2778220917303335
BCC-CSM2-MR_SSP126_2030,SSP1_2030,SSP126,0,2030,0.10207267503023576,182237789.9921421,81468534.61423582,0.4470452293004028
BCC-CSM2-MR_SSP126_2050,SSP1_2050,SSP126,0,2050,0.09953172221367032,234273097.04331276,94840972.8080362,0.4048308320716051
BCC-CSM2-MR_SSP126_2070,SSP1_2070,SSP126,0,2070,0.10110397720520169,262989553.11746946,100707029.93834786,0.38293167445082915
BCC-CSM2-MR_SSP245_2030,SSP2_2030,SSP245,0,2030,0.10223480226520064,195769209.13493404,85853998.46011671,0.4385469954110189
BCC-CSM2-MR_SSP245_2050,SSP2_2050,SSP245,0,2050,0.09786414068073597,276471532.001752,102351762.72852342,0.3702072397380675
BCC-CSM2-MR_SSP245_2070,SSP2_2070,SSP245,0,2070,0.09828134117103332,341313107.45942736,113748920.38286991,0.33326853817470664
BCC-CSM2-MR_SSP370_2030,SSP3_2030,SSP370,0,2030,0.10075351653854404,211999622.18008378,92741834.61389582,0.43746226365967744
BCC-CSM2-MR_SSP370_2050,SSP3_2050,SSP370,0,2050,0.09681422433091613,333370478.3976805,116843314.0919017,0.3504908852562473
BCC-CSM2-MR_SSP370_2070,SSP3_2070,SSP370,0,2070,0.094586256692126,458941074.3473349,135609221.89047876,0.2954828614617467
CMCC-ESM2_SSP126_2030,SSP1_2030,SSP126,0,2030,0.10165017296751577,182237789.9921421,87459821.57166812,0.4799214343821843
CMCC-ESM2_SSP126_2050,SSP1_2050,SSP126,0,2050,0.09850568896917596,234273097.04331276,95650103.98747832,0.4082846267652934
CMCC-ESM2_SSP126_2070,SSP1_2070,SSP126,0,2070,0.0970602945698343,262989553.11746946,99548880.76085299,0.3785278904838761
CMCC-ESM2_SSP245_2030,SSP2_2030,SSP245,0,2030,0.10162088658087155,195769209.13493404,94188275.10609008,0.4811189436903265
CMCC-ESM2_SSP245_2050,SSP2_2050,SSP245,0,2050,0.09574053831284271,276471532.001752,111786538.57948285,0.4043329082387204
CMCC-ESM2_SSP245_2070,SSP2_2070,SSP245,0,2070,0.09496499679855264,341313107.45942736,114853860.45350495,0.3365058591169338
CMCC-ESM2_SSP370_2030,SSP3_2030,SSP370,0,2030,0.10058731577336785,211999622.18008378,103234843.2970378,0.4869576758459721
CMCC-ESM2_SSP370_2050,SSP3_2050,SSP370,0,2050,0.0938643128995416,333370478.3976805,128376314.44808078,0.38508603120801704
CMCC-ESM2_SSP370_2070,SSP3_2070,SSP370,0,2070,0.09244707258716107,458941074.3473349,144111015.82891947,0.31400766652638645
EC-Earth3-Veg_SSP126_2030,SSP1_2030,SSP126,0,2030,0.101248573702669,182237789.9921421,85675283.55200958,0.47012907452237984
EC-Earth3-Veg_SSP126_2050,SSP1_2050,SSP126,0,2050,0.0983496059963444,234273097.04331276,98993698.16077533,0.4225568339264889
EC-Earth3-Veg_SSP126_2070,SSP1_2070,SSP126,0,2070,0.09777038059269809,262989553.11746946,103239977.7958678,0.392563037474548
EC-Earth3-Veg_SSP245_2030,SSP2_2030,SSP245,0,2030,0.10119289436006025,195769209.13493404,92549058.3136035,0.4727457332159625
EC-Earth3-Veg_SSP245_2050,SSP2_2050,SSP245,0,2050,0.09637232873577045,276471532.001752,110247285.05856498,0.3987654145088122
EC-Earth3-Veg_SSP245_2070,SSP2_2070,SSP245,0,2070,0.0948025577024966,341313107.45942736,116747440.05102393,0.34205378433906747
EC-Earth3-Veg_SSP370_2030,SSP3_2030,SSP370,0,2030,0.10058428475927503,211999622.18008378,99846607.30772574,0.4709754021302487
EC-Earth3-Veg_SSP370_2050,SSP3_2050,SSP370,0,2050,0.09562637650582766,333370478.3976805,128633299.47683898,0.3858569003923353
EC-Earth3-Veg_SSP370_2070,SSP3_2070,SSP370,0,2070,0.0925049840682667,458941074.3473349,141618331.89642218,0.30857628530594944
GISS-E2-1-G_SSP126_2030,SSP1_2030,SSP126,0,2030,0.09886996414882429,182237789.9921421,85430909.68162028,0.46878811296660244
GISS-E2-1-G_SSP126_2050,SSP1_2050,SSP126,0,2050,0.09594170511516742,234273097.04331276,97878993.77407236,0.4177986931037854
GISS-E2-1-G_SSP126_2070,SSP1_2070,SSP126,0,2070,0.09595027872984986,262989553.11746946,102680460.32868578,0.39043551012393835
GISS-E2-1-G_SSP245_2030,SSP2_2030,SSP245,0,2030,0.09696429970881776,195769209.13493404,88221303.862142,0.4506393229659288
GISS-E2-1-G_SSP245_2050,SSP2_2050,SSP245,0,2050,0.0926690248180985,276471532.001752,106439775.7829908,0.384993619459946
GISS-E2-1-G_SSP245_2070,SSP2_2070,SSP245,0,2070,0.09141060882674286,341313107.45942736,115364223.23673654,0.33800115118769686
GISS-E2-1-G_SSP370_2030,SSP3_2030,SSP370,0,2030,0.09640828413088787,211999622.18008378,96967915.86301054,0.45739664470081376
GISS-E2-1-G_SSP370_2050,SSP3_2050,SSP370,0,2050,0.09056132867133888,333370478.3976805,125010709.95184693,0.3749903427343095
GISS-E2-1-G_SSP370_2070,SSP3_2070,SSP370,0,2070,0.08863650003321323,458941074.3473349,143295339.1421158,0.31223036496765444
INM-CM5-0_SSP126_2030,SSP1_2030,SSP126,0,2030,0.10288219383471565,182237789.9921421,89492925.43733838,0.49107775857684194
INM-CM5-0_SSP126_2050,SSP1_2050,SSP126,0,2050,0.10028735687597647,234273097.04331276,108036825.40713729,0.4611576265932203
INM-CM5-0_SSP126_2070,SSP1_2070,SSP126,0,2070,0.10130326605942598,262989553.11746946,113893430.34865564,0.4330720707289194
INM-CM5-0_SSP245_2030,SSP2_2030,SSP245,0,2030,0.10320626869066243,195769209.13493404,96589498.39424296,0.49338452569253927
INM-CM5-0_SSP245_2050,SSP2_2050,SSP245,0,2050,0.09921355599959487,276471532.001752,119525948.27267742,0.43232642220798334
INM-CM5-0_SSP245_2070,SSP2_2070,SSP245,0,2070,0.09801994280522333,341313107.45942736,130227207.90130506,0.38154763194022795
INM-CM5-0_SSP370_2030,SSP3_2030,SSP370,0,2030,0.10175730539918475,211999622.18008378,104420276.7752752,0.49254935316146486
INM-CM5-0_SSP370_2050,SSP3_2050,SSP370,0,2050,0.09696257597926908,333370478.3976805,134498019.27912802,0.40344909940910895
INM-CM5-0_SSP370_2070,SSP3_2070,SSP370,0,2070,0.09599892743224889,458941074.3473349,154233948.50522423,0.336064817742805
IPSL-CM6A-LR_SSP126_2030,SSP1_2030,SSP126,0,2030,0.09893031410972729,182237789.9921421,81846780.06773435,0.44912078922414217
IPSL-CM6A-LR_SSP126_2050,SSP1_2050,SSP126,0,2050,0.09622428372639029,234273097.04331276,95969823.59820063,0.409649357136631
IPSL-CM6A-LR_SSP126_2070,SSP1_2070,SSP126,0,2070,0.09612306070674122,262989553.11746946,100309241.8633676,0.381419112182614
IPSL-CM6A-LR_SSP245_2030,SSP2_2030,SSP245,0,2030,0.0979946505858071,195769209.13493404,87943304.14971083,0.44921928498518815
IPSL-CM6A-LR_SSP245_2050,SSP2_2050,SSP245,0,2050,0.09350625945629457,276471532.001752,104850977.94947128,0.3792469235089522
IPSL-CM6A-LR_SSP245_2070,SSP2_2070,SSP245,0,2070,0.09139977826989891,341313107.45942736,111387592.19587484,0.32635017455084325
IPSL-CM6A-LR_SSP370_2030,SSP3_2030,SSP370,0,2030,0.09649847106349674,211999622.18008378,94198956.83346444,0.4443354939257714
IPSL-CM6A-LR_SSP370_2050,SSP3_2050,SSP370,0,2050,0.09071672362177402,333370478.3976805,119218115.68113407,0.35761449620298336
IPSL-CM6A-LR_SSP370_2070,SSP3_2070,SSP370,0,2070,0.0882079454576783,458941074.3473349,132484374.93648697,0.2886740419233437
MIROC6_SSP126_2030,SSP1_2030,SSP126,0,2030,0.09629343698416228,182237789.9921421,83385739.1466554,0.4575655749021698
MIROC6_SSP126_2050,SSP1_2050,SSP126,0,2050,0.09419857385191314,234273097.04331276,97810033.0708786,0.41750433278642884
MIROC6_SSP126_2070,SSP1_2070,SSP126,0,2070,0.09500683404859697,262989553.11746946,103623983.73968187,0.3940231941205519
MIROC6_SSP245_2030,SSP2_2030,SSP245,0,2030,0.09563177980486126,195769209.13493404,90327347.45523345,0.4613971106813599
MIROC6_SSP245_2050,SSP2_2050,SSP245,0,2050,0.0912984892537258,276471532.001752,108630191.59027761,0.3929163729941975
MIROC6_SSP245_2070,SSP2_2070,SSP245,0,2070,0.09036259910043218,341313107.45942736,117177796.8249627,0.3433146699146088
MIROC6_SSP370_2030,SSP3_2030,SSP370,0,2030,0.09497850951891876,211999622.18008378,96695541.43129279,0.45611185735583265
MIROC6_SSP370_2050,SSP3_2050,SSP370,0,2050,0.08886056892467979,333370478.3976805,122780410.13354796,0.3683001887980079
MIROC6_SSP370_2070,SSP3_2070,SSP370,0,2070,0.08643093227687412,458941074.3473349,143552705.37554815,0.3127911477082238
MPI-ESM1-2-HR_SSP126_2030,SSP1_2030,SSP126,0,2030,0.10104318598279803,182237789.9921421,89997799.28004757,0.49384817102933576
MPI-ESM1-2-HR_SSP126_2050,SSP1_2050,SSP126,0,2050,0.10014028526546528,234273097.04331276,107630811.45990728,0.4594245468996738
MPI-ESM1-2-HR_SSP126_2070,SSP1_2070,SSP126,0,2070,0.10042501273761481,262989553.11746946,113365731.74712451,0.43106553246427803
MPI-ESM1-2-HR_SSP245_2030,SSP2_2030,SSP245,0,2030,0.10080310332210654,195769209.13493404,97073550.51190238,0.49585709081040613
MPI-ESM1-2-HR_SSP245_2050,SSP2_2050,SSP245,0,2050,0.09746878917861918,276471532.001752,119965497.7896169,0.43391627673570626
MPI-ESM1-2-HR_SSP245_2070,SSP2_2070,SSP245,0,2070,0.09540852135191012,341313107.45942736,127554030.659164,0.3737155938973912
MPI-ESM1-2-HR_SSP370_2030,SSP3_2030,SSP370,0,2030,0.10047939719036195,211999622.18008378,104865543.19314326,0.4946496701964161
MPI-ESM1-2-HR_SSP370_2050,SSP3_2050,SSP370,0,2050,0.0949897863800008,333370478.3976805,138886759.81265357,0.4166138539927172
MPI-ESM1-2-HR_SSP370_2070,SSP3_2070,SSP370,0,2070,0.09250987359657455,458941074.3473349,156734627.51667812,0.34151361967235583
MRI-ESM2-0_SSP126_2030,SSP1_2030,SSP126,0,2030,0.1006249935965057,182237789.9921421,87512741.05595197,0.48021182137758267
MRI-ESM2-0_SSP126_2050,SSP1_2050,SSP126,0,2050,0.09689442907808091,234273097.04331276,102264129.36444381,0.4365167433012467
MRI-ESM2-0_SSP126_2070,SSP1_2070,SSP126,0,2070,0.09778775252289487,262989553.11746946,108330982.09399492,0.4119212372120605
MRI-ESM2-0_SSP245_2030,SSP2_2030,SSP245,0,2030,0.10026748048928952,195769209.13493404,94673258.96338765,0.48359626818604584
MRI-ESM2-0_SSP245_2050,SSP2_2050,SSP245,0,2050,0.09511395647494544,276471532.001752,112783756.38607298,0.4079398539498029
MRI-ESM2-0_SSP245_2070,SSP2_2070,SSP245,0,2070,0.09248018512722986,341313107.45942736,118271625.56258522,0.3465194361943584
MRI-ESM2-0_SSP370_2030,SSP3_2030,SSP370,0,2030,0.09857191908804816,211999622.18008378,101432481.60884728,0.47845595461809415
MRI-ESM2-0_SSP370_2050,SSP3_2050,SSP370,0,2050,0.09133293916645052,333370478.3976805,130632951.12864055,0.391855186927522
MRI-ESM2-0_SSP370_2070,SSP3_2070,SSP370,0,2070,0.08852539004396993,458941074.3473349,145128323.42375517,0.3162243075108144
sensitivity_historical_climate_SSP126_2030,SSP1_2030,SSP126,1,2030,0.10630671619631867,182237789.9921421,99332865.42532739,0.5450728162891489
sensitivity_historical_climate_SSP126_2050,SSP1_2050,SSP126,1,2050,0.10479774059630184,234273097.04331276,122251080.388097,0.5218314946572591
sensitivity_historical_climate_SSP126_2070,SSP1_2070,SSP126,1,2070,0.10505153630773703,262989553.11746946,131098931.32146722,0.4984948252408692
sensitivity_historical_climate_SSP245_2030,SSP2_2030,SSP245,1,2030,0.10563371432520859,195769209.13493404,106513014.72859113,0.5440743986209648
sensitivity_historical_climate_SSP245_2050,SSP2_2050,SSP245,1,2050,0.10367619494867823,276471532.001752,140597156.54283494,0.5085411706762777
sensitivity_historical_climate_SSP245_2070,SSP2_2070,SSP245,1,2070,0.103539669426753,341313107.45942736,161342492.4287862,0.47271109401494443
sensitivity_historical_climate_SSP370_2030,SSP3_2030,SSP370,1,2030,0.10449312044514443,211999622.18008378,114701650.93462743,0.5410464875130472
sensitivity_historical_climate_SSP370_2050,SSP3_2050,SSP370,1,2050,0.10200437060020967,333370478.3976805,164235672.52269483,0.49265211878412546
sensitivity_historical_climate_SSP370_2070,SSP3_2070,SSP370,1,2070,0.10178728581114724,458941074.3473349,206877694.93339688,0.45077180164708486
sensitivity_historical_humanpop_ACCESS-CM2_SSP126_2030,pd_2000,SSP126,1,2030,0.10917231809144684,86338616.08966085,39365067.98770773,0.45593813950906886
sensitivity_historical_humanpop_ACCESS-CM2_SSP126_2050,pd_2000,SSP126,1,2050,0.10796936413736644,86338616.08966085,36588761.22584399,0.42378211376294617
sensitivity_historical_humanpop_ACCESS-CM2_SSP126_2070,pd_2000,SSP126,1,2070,0.10717103914156936,86338616.08966085,35220536.685392395,0.40793492275596127
sensitivity_historical_humanpop_ACCESS-CM2_SSP245_2030,pd_2000,SSP245,1,2030,0.11050288784746508,86338616.08966085,40172985.594595246,0.46529568591737025
sensitivity_historical_humanpop_ACCESS-CM2_SSP245_2050,pd_2000,SSP245,1,2050,0.10676613239934236,86338616.08966085,35250281.39238166,0.40827943496077096
