OB_code,Cont,Reg,Cty_Dist,S_Cty,Villge,GPS_x,GPS_y,St_date,En_date,OB_Yr,OB_Mo,Landuse_changes,Presence_of_previous_ob,Pr_largeob,Pr_sporob,Pr_ngb.Arob,Hu_Cs,LS_Cs,OB_HU_LS,No_HU_cases,No_LS_cases,CASES,Type_cases,Predominant_LS_species,Size,Density_classification,Cattle_density,Sheep_density,Goat_density,Human_population_density,Host Density,Production_system,Annual_rainfall_3rd_yr_prior,Annual_rainfall_2nd_yr_prior,Annual_rainfall_prec_yr_to_OB,Annual_rainfall_OB_yr,Monthly_rainfall_OB_month,Monthly_rainfall_1st_month_prior_OB,Monthly_rainfall_2nd_month_prior_OB,Monthly_rainfall_3rd_month_prior_OB,Annual_temp_3rd_yr_prior_OB,Annual_temp_2nd_yr_prior_OB,Annual_temp_prec_yr_prior_OB,Annual_temp_OB_yr,Monthly_temp_OB_month,Monthly_temp_1st_month_prior_OB,Monthly_temp_2nd_month_prior_OB,Monthly_temp_3rd_month_prior_OB,Annual_humidity_3rd_yr_prior_OB,Annual_humidity_2nd_yr_prior_OB,Annual_humidity_prec_yr_prior_OB,Annual_humidity_OB_yr,Monthly_humidity_OB_month,Monthly_humidity_1st_month_prior_OB,Monthly_humidity_2nd_month_prior_OB,Monthly_humidity_3rd_month_prior_OB,Di_WLpark,Altitude,Elevation_below_1000,NDVI_change_1st_month_prior_OB,NDVI_change_2nd_month_prior_OB,NDVI_change_3rd_month_prior_OB,Average_change_NDVI,Soils,Elevation_Classification,OB_month_ndvi,First_month_prior_ndvi,Second_month_prior_ndvi,Third_month_prior_ndvi,Average_NDVI_to_OB,Positive_change_in_NDVI,Soils_new,Types_landuse_changes,Di_WLpark
1,Kenya,Central,Kiambu,Kikuyu,Kikuyu,36.66138498,-1.2543279,39714,,2008,September,1,0,0,0,1,0,1,LS,,5,5,1,Cattle,large,Medium,62.32954545,59.86931818,40.69318182,1082.255639,1245.147685,Intensive,762.5811024,1119.110842,740.4581285,663.0367975,24.7202663,9.090389252,23.13026237,12.8444376,24.73453936,25.18333356,24.81666728,24.65833378,26.20000076,23.39999962,22,21.70000076,62.62,68.25,68.94,65.25,58.25,62.56,65.62,65.75,20.4,2015.238997,0,0.0116,0.0254,0.02155,0.019516667,Nitisols,High,0.69695,0.68535,0.67155,0.6754,0.677433333,2,Clay soils,Residential,20.4
2,Kenya,Coastal,Kilifi,Kilifi,Mariakani,37.74723738,-0.34401692,40059,40131,2009,September,,1,0,1,1,0,1,LS,,22,22,1,Goats,small,Medium,51.49856322,10.3362069,99.19683908,115.9347512,276.9663604,Intensive,1629.008871,1185.262225,950.2497063,968.4073835,6.252085209,9.896954536,9.34568882,7.132274628,27.71666702,27.58333381,27.53333378,28.24166711,29.10000038,26.80000114,25.89999962,27,70.31,71.62,68.38,66.56,57.75,62.62,62.38,67.75,92,204,1,0.08845,0.0122,0.01855,0.039733333,Nitisols,Low,0.7024,0.61395,0.6902,0.68385,0.662666667,2,Clay soils,,92
3,Kenya,North_Eastern,Garissa,Ijara,Kotile,40.56705892,-1.6755655,40115,,2009,October,,1,1,1,1,0,1,LS,,2,2,1,Goats,small,Medium,32.16720933,57.98435038,66.22623674,57.9843372,214.3621337,Extensive,1225.857718,994.4635413,859.0414181,968.4108973,321.4976807,18.4030056,20.7750206,37.67130661,32.16666651,32.65833391,31.89166768,32.49166759,31.80000114,31.5,30.70000076,30.10000038,72.38,72.19,68.5,67.25,74.69,62.06,66.12,70.19,44.4,53.83890893,1,0.02335,-0.04305,-0.2241,-0.081266667,other,Low,0.3287,0.30535,0.37175,0.5528,0.409966667,2,Clay soils,,44.4
4,Kenya,North_Eastern,Garissa,Ijara,Sangailu,40.88313607,-1.5303188,40114,,2009,October,,1,1,1,1,0,1,LS,,2,2,1,Goats,small,Medium,32.16720933,57.98435038,66.22623674,57.9843372,214.3621337,Extensive,2378.016382,1680.857994,859.0414181,968.4108973,476.5320378,28.49485541,51.22542525,58.67902708,32.25000079,31.96666762,31.89166768,32.49166759,31.80000114,31.5,30.70000076,30.10000038,72.38,72.19,68.5,67.25,74.69,62.06,66.12,70.19,30.3,51.79089869,1,0.1869,0.0893,-0.01705,0.086383333,Planosols,Low,0.7173,0.5304,0.628,0.73435,0.630916667,2,Clay soils,,30.3
5,Kenya,Rift_Valley,Baringo,Marigat,Oldebes,35.90894298,0.45068975,40122,,2009,November,,1,1,1,1,0,1,LS,,1,1,1,Goats,small,High,60.46120059,75.42606149,201.4304539,62.58084492,399.8985609,Extensive,953.93788,1104.898885,708.7818203,715.2111728,44.66220474,39.88703918,27.23547363,35.33766174,26.39166714,26.558334,26.11666695,26.72500038,25.60000038,27.30000114,27,24.60000038,68.94,72.88,68,65.25,71.25,72.81,62.75,68.88,22.5,1302.521,0,0.1075,0.14955,0.12445,0.127166667,other,High,0.3924,0.2849,0.24285,0.26795,0.265233333,2,Sandy soils,Industrial,22.5
6,Kenya,Rift_Valley,Baringo,Marigat,Salabani,35.90894298,0.45068975,40122,,2009,November,,1,1,1,1,0,1,LS,,2,2,1,Goats,small,High,60.46120059,75.42606149,201.4304539,62.58084492,399.8985609,Extensive,953.93788,1104.898885,708.7818203,664.9157016,44.66220474,39.88703918,27.23547363,35.33766174,26.39166714,26.558334,26.11666695,26.72500038,25.60000038,27.30000114,27,24.60000038,68.94,72.88,68,65.25,68.06,72.81,62.75,68.88,22.5,1302.521,1,0.1075,0.14955,0.12445,0.127166667,other,High,0.3924,0.2849,0.24285,0.26795,0.265233333,2,Sandy soils,Industrial,22.5
7,Kenya,Eastern,Machakos ,Machakos ,Machakos ,37.22608737,-1.58948027,40457,,2010,October,,1,0,1,1,0,1,LS,,5,5,1,Goats,small,Low,41.44776119,15.69552239,62.67761194,608.8722341,728.6931296,Semi_intensive,471.1683283,510.1529177,465.386337,647.3691139,24.07017899,6.599265099,0.269892871,0.110150129,25.88333359,25.90000025,26.54166698,26.34166718,28.30000114,25.89999962,24.30000114,23.30000114,72.88,68,65.25,75.5,75.44,76.44,80.44,81.62,131,1604.536286,0,0.0041,-0.06215,-0.09275,-0.050266667,Ferralsols,High,0.3117,0.3076,0.37385,0.40445,0.361966667,2,Clay soils,,131
8,Kenya,Central,Kiambu,Thika_West,Thika_West,37.1627001,-1.06595808,40457,,2010,October,,1,0,1,1,0,1,LS,,5,5,1,Cattle,large,Low,25.68202765,12.16129032,25.92165899,2689.496718,2753.261695,Intensive,652.15695,701.9408575,593.4076233,859.796945,57.49240875,5.98542738,8.178719521,3.906742096,26.58333403,26.55833371,27.20833365,26.90833346,27.9,27.8,25.5,24.5,72.69,69.62,67.62,72.88,66.19,65.56,67.56,70.25,48.5,1459.329403,0,0.10595,0.0618,-0.0955,0.024083333,Fluvisols,High,0.4019,0.29595,0.3401,0.4974,0.377816667,2,Loam soils,,48.5
9,Kenya,Central,Kiambu,Ruiru ,Ruiru ,37.12083699,-1.20259546,40457,,2010,October,,0,0,0,1,0,1,LS,,1,1,1,Goats,small,Low,40.59668508,30.25966851,44.38674033,1845.405271,1960.648365,Intensive,569.2400186,647.7270856,584.656367,794.6281079,43.38236618,5.660404205,5.136375427,1.528465033,26.55833403,27.15000006,26.55833371,27.20833365,28.89999962,26.70000076,25,23.89999962,72.69,69.62,67.62,72.88,66.19,65.56,67.56,70.25,15.4,1457.225663,0,0.0149,-0.0192,-0.0729,-0.025733333,Cambisols,High,0.2532,0.2383,0.2724,0.3261,0.278933333,2,Loam soils,,15.4
10,Kenya,Nairobi,Nairobi,Kamulu,Kamulu,37.12083699,-1.20259546,40457,,2010,October,,0,0,0,1,0,1,LS,,1,1,1,Cattle,large,Low,31.76315789,17.57894737,26.73026316,4821,4897.072368,Intensive,569.2400186,580.6166162,525.659348,766.1505179,40.82257843,7.134277344,0,0,26.55833403,27.15000006,26.55833371,27.20833365,28.89999962,26.70000076,25,23.89999962,72.69,69.62,67.62,72.88,66.19,65.56,67.56,70.25,24.1,1146,0,-0.01545,-0.0707,0.00885,-0.025766667,Cambisols,High,0.2645,0.27995,0.3352,0.25565,0.290266667,1,Loam soils,,24.1
