former_outbreak_code,country,ADM1,ADM2,ADM3,ADM4,city_village,exact_location,includes_health_facility_sampling,start_date,end_date,outbreak_year,outbreak_month,human_cases,livestock_cases,outbreak_type,n_human_cases,n_livestock_cases,n_total_cases,ref_name,ref_DOI_URL,WAHIS_ref_number,notes,GPS_x,GPS_y
1,Kenya,Kiambu County,Kikuyu Subcounty,NA,NA,Kikuyu,1,NA,2008-09-23,NA,2008,September,0,1,LS,NA,5,5,Unpublished DVS records,NA,NA,NA,36.66138498,-1.2543279
NA,Kenya,"Tana River, Garissa County","Bura, Balambala, Dadaab, Dujis, Fafi Subcounty",NA,NA,NA,0,1,2009-02-01,2009-04-30,2009,February,1,0,HU,4,NA,4,Njenga_and_Bett_2019,https://doi.org/10.1007/s40588-018-0110-1,NA,Assuming a sampling catchment of five subcounties for Garissa Provincial Hospital,39.6248315920862,0.05117525053634847
2,Kenya,Kilifi County,Kaloleni Subcounty,NA,NA,Mariakani,1,NA,2009-09-03,2009-11-14,2009,September,0,1,LS,NA,22,22,Unpublished DVS records,NA,NA,NA,39.48186,-3.85792
3,Kenya,Garissa County,Ijara Subcounty,NA,NA,Kotile,1,0,2009-10-29,NA,2009,October,0,1,LS,NA,1,1,Lichoti_etal_2014,https://doi.org/10.1155/2014/379010,NA,Referencing Table 5 for positive animals,40.2063,-1.9658
4,Kenya,Garissa County,Ijara Subcounty,NA,NA,Sangailu,1,0,2009-10-28,NA,2009,October,0,1,LS,NA,1,1,Lichoti_etal_2014,https://doi.org/10.1155/2014/379010,NA,Referencing Table 5 for positive animals,40.7327,-1.3148
6,Kenya,Baringo County,Baringo South Subcounty,NA,NA,Salabani,1,0,2009-11-05,NA,2009,November,0,1,LS,NA,1,1,Lichoti_etal_2014,https://doi.org/10.1155/2014/379010,NA,Referencing Table 5 for positive animals,36.0501,0.5507
NA,Kenya,"Tana River, Garissa County","Bura, Balambala, Dadaab, Dujis, Fafi Subcounty",NA,NA,NA,0,1,2009-12-01,2010-02-28,2009,December,1,0,HU,4,NA,4,Njenga_and_Bett_2019,https://doi.org/10.1007/s40588-018-0110-1,NA,Assuming a sampling catchment of five subcounties for Garissa Provincial Hospital,39.25058895670965,-0.995488412395089
7,Kenya,Machakos County,Machakos Town Subcounty,NA,NA,Machakos,1,NA,2010-10-06,NA,2010,October,0,1,LS,NA,5,5,Unpublished DVS records,NA,NA,NA,37.22608737,-1.58948027
8,Kenya,Kiambu County,Thika Town Subcounty,NA,NA,Thika,1,NA,2010-10-06,NA,2010,October,0,1,LS,NA,5,5,Unpublished DVS records,NA,NA,NA,37.1627001,-1.06595808
9,Kenya,Kiambu County,Ruiru Subcounty,NA,NA,Ruiru,1,NA,2010-10-06,NA,2010,October,0,1,LS,NA,1,1,Unpublished DVS records,NA,NA,NA,37.12083699,-1.20259546
