former_outbreak_code,country,ADM1,ADM2,ADM3,ADM4,city_village,GPS_x,GPS_y,exact_location,includes_health_facility_sampling,start_date,end_date,outbreak_year,outbreak_month,human_cases,livestock_cases,outbreak_type,n_human_cases,n_livestock_cases,n_total_cases,ref_name,ref_DOI_URL,WAHIS_ref_number,notes,exclude,exclude_reason
1,Kenya,Kiambu County,Kikuyu Subcounty,,,Kikuyu,36.66138498,-1.2543279,1,,2008-09-23,,2008,September,0,1,LS,,5,5,Unpublished DVS records,,,,,
,Kenya,"Tana River, Garissa County","Bura, Balambala, Dadaab, Dujis, Fafi Subcounty",,,,,,0,1,2009-02-01,2009-04-30,2009,February,1,0,HU,4,,4,Njenga_and_Bett_2019,https://doi.org/10.1007/s40588-018-0110-1,,Assuming a sampling catchment of five subcounties for Garissa Provincial Hospital,,
2,Kenya,Kilifi County,Kaloleni Subcounty,,,Mariakani,39.48186,-3.85792,1,,2009-09-03,2009-11-14,2009,September,0,1,LS,,22,22,Unpublished DVS records,,,,,
3,Kenya,Garissa County,Ijara Subcounty,,,Kotile,40.2063,-1.9658,1,0,2009-10-29,,2009,October,0,1,LS,,1,1,Lichoti_etal_2014,https://doi.org/10.1155/2014/379010,,Referencing Table 5 for positive animals,,
4,Kenya,Garissa County,Ijara Subcounty,,,Sangailu,40.7327,-1.3148,1,0,2009-10-28,,2009,October,0,1,LS,,1,1,Lichoti_etal_2014,https://doi.org/10.1155/2014/379010,,Referencing Table 5 for positive animals,,
6,Kenya,Baringo County,Baringo South Subcounty,,,Salabani,36.0501,0.5507,1,0,2009-11-05,,2009,November,0,1,LS,,1,1,Lichoti_etal_2014,https://doi.org/10.1155/2014/379010,,Referencing Table 5 for positive animals,,
,Kenya,"Tana River, Garissa County","Bura, Balambala, Dadaab, Dujis, Fafi Subcounty",,,,,,0,1,2009-12-01,2010-02-28,2009,December,1,0,HU,4,,4,Njenga_and_Bett_2019,https://doi.org/10.1007/s40588-018-0110-1,,Assuming a sampling catchment of five subcounties for Garissa Provincial Hospital,,
7,Kenya,Machakos County,Machakos Town Subcounty,,,Machakos,37.22608737,-1.58948027,1,,2010-10-06,,2010,October,0,1,LS,,5,5,Unpublished DVS records,,,,,
8,Kenya,Kiambu County,Thika Town Subcounty,,,Thika,37.1627001,-1.06595808,1,,2010-10-06,,2010,October,0,1,LS,,5,5,Unpublished DVS records,,,,,
9,Kenya,Kiambu County,Ruiru Subcounty,,,Ruiru,37.12083699,-1.20259546,1,,2010-10-06,,2010,October,0,1,LS,,1,1,Unpublished DVS records,,,,,
10,Kenya,Nairobi County,Kasarani Subcounty,,,Kamulu,37.06358,-1.28306,1,,2010-10-06,,2010,October,0,1,LS,,1,1,Unpublished DVS records,,,,,
11,Kenya,Garissa County,Fafi Subcounty,,,Fafi,40.25089758,-0.43266492,1,,2011-11-23,2012-01-07,2011,November,0,1,LS,,3,3,Unpublished DVS records,,,,,
12,Kenya,Lamu County,Lamu West Subcounty,,,Witu,40.43090174,-2.38248559,1,,2011-12-24,2012-01-07,2011,December,0,1,LS,,7,7,Unpublished DVS records,,,,,
,Kenya,Garissa County,Fafi Subcounty,,,Fafi,40.026,-1.104,1,0,2012-09-01,,2012,September,0,1,LS,,1,1,Owange_etal_2014,https://doi.org/10.1016/j.prevetmed.2014.08.008,,"Herd 1175, sampling #1; Information from Figure 1 and Table 1",,
,Kenya,Garissa County,Ijara Subcounty,,,Masalani,40.199,-1.6889,1,0,2012-09-01,,2012,September,0,1,LS,,1,1,Owange_etal_2014,https://doi.org/10.1016/j.prevetmed.2014.08.008,,"Herd 1181, sampling #1; Information from Table 1",,
,Kenya,Garissa County,Ijara Subcounty,,,Gedulum,40.71971,-1.38431,1,0,2012-12-01,,2012,December,0,1,LS,,1,1,Owange_etal_2014,https://doi.org/10.1016/j.prevetmed.2014.08.008,,"Herd 1178, sampling #2; Information from Figure 1 and Table 1",,
,Kenya,Garissa County,Ijara Subcounty,,,Ijara,40.52,-1.5835,1,0,2012-12-01,,2012,December,0,1,LS,,4,4,Owange_etal_2014,https://doi.org/10.1016/j.prevetmed.2014.08.008,,"Herd 1179, sampling #2; Information from Figure 1 and Table 1",,
,Kenya,Garissa County,Ijara Subcounty,,,Gedulum,40.71971,-1.38431,1,0,2013-02-01,,2013,February,0,1,LS,,2,2,Owange_etal_2014,https://doi.org/10.1016/j.prevetmed.2014.08.008,,"Herd 1178, sampling #3; Information from Figure 1 and Table 1",,
,Kenya,Lamu County,Lamu West Subcounty,,,Witu,40.7558,-2.2104,1,0,2013-05-01,,2013,May,0,1,LS,,2,2,Owange_etal_2014,https://doi.org/10.1016/j.prevetmed.2014.08.008,,"Herd 1172, sampling #4; Information from Figure 1 and Table 1",,
,Kenya,Garissa County,Fafi Subcounty,,,Kamuthe,39.86329,-0.70585,1,0,2013-05-01,,2013,May,0,1,LS,,2,2,Owange_etal_2014,https://doi.org/10.1016/j.prevetmed.2014.08.008,,"Herd 1174, sampling #4; Information from Figure 1 and Table 1",,
,Kenya,Garissa County,Fafi Subcounty,,,Halei,39.9916,-0.5974,1,0,2013-05-01,,2013,May,0,1,LS,,5,5,Owange_etal_2014,https://doi.org/10.1016/j.prevetmed.2014.08.008,,"Herd 1178, sampling #4 and herd 1179, sampling #4; Information from Figure 1 and Table 1",,
,Kenya,Garissa County,Fafi Subcounty,,,Tana,,,0,0,2013-05-01,,2013,May,0,1,LS,,2,2,Owange_etal_2014,https://doi.org/10.1016/j.prevetmed.2014.08.008,,"Herd 1181, sampling #4; Not clear which Tana in Fafi Subcounty is being referred to, and herd 1181 is not shown on Figure 1",,
14,Kenya,Murang'a County,Kandara Subcounty,,,Ngararia,37.02083493,-0.93262001,1,,2014-05-01,,2014,May,1,1,HU_LS,3,7,10,Unpublished KEMRI records,,,,,
15,Kenya,Garissa County,Balambala Subcounty,,,Garissa,39.59074632,-0.24856877,1,,2016-06-03,,2016,June,0,1,LS,,7,7,Unpublished KEMRI records,,,,,
16,Kenya,Isiolo County,Isiolo North Subcounty,,,Saleti,38.611561,1.177155,1,0,2018-06-15,2018-07-30,2018,June,0,1,LS,,15,15,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000101603,,,
17,Kenya,Isiolo County,Isiolo South Subcounty,,,Garbatulla,38.415522,0.549314,1,0,2018-06-19,2018-07-30,2018,June,0,1,LS,,12,12,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000101604,,,
19,Kenya,Wajir County,Wajir North Subcounty,,,Basir,39.027828,2.327758,1,0,2018-05-01,2018-07-30,2018,May,0,1,LS,,25,25,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000100918,"Based on information in Hassan et al. 2020 (10.4269/ajtmh.20-0387), setting the start date in Wajir County to May",,
20,Kenya,Wajir County,Eldas Subcounty,,,Eldas,39.60631,2.492876,1,0,2018-05-01,2018-07-30,2018,May,1,1,HU_LS,21,17,38,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000101072,"Based on information in Hassan et al. 2020 (10.4269/ajtmh.20-0387), setting the start date in Wajir County to May; Arbitrarily assigning all Wajir County human cases reported in Hassan et al. 2020 to Eldas Subcounty",,
21,Kenya,Mandera County,Mandera South Subcounty,,,Elwak,40.913067,2.817387,1,0,2018-06-22,2018-07-30,2018,June,0,1,LS,,2,2,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000102482,,,
22,Kenya,Marsabit County,Saku Subcounty,,,Marsabit,37.869589,2.394153,1,0,2018-06-01,2018-07-30,2018,June,1,1,HU_LS,8,18,26,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000102478,Start date and human case data from Hassan et al. 2020 (10.4269/ajtmh.20-0387),,
23,Kenya,Tana River County,Garsen Subcounty,,,Dhidhe Ade,40.26515673,-2.5509187,1,0,2018-06-20,2018-07-30,2018,June,1,1,HU_LS,,20,20,Daily Nation,https://reliefweb.int/report/kenya/quarantine-tana-delta-after-rift-valley-fever-outbreak,,Total human case count unclear,,
24,Kenya,Tana River County,Bura Subcounty,,,Galole,39.952116,-1.284105,1,0,2018-06-11,2018-07-30,2018,June,0,1,LS,,1,1,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000101073,,,
25,Kenya,Siaya County,Ugenya Subcounty,,,Siaya,34.141077,0.198418,1,0,2018-06-02,2018-07-30,2018,June,1,1,HU_LS,1,38,39,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000101606,Start date and human case data from Hassan et al. 2020 (10.4269/ajtmh.20-0387),,
27,Kenya,Baringo County,Mogotio Subcounty,,,Mogotio,36.067303,0.247183,1,0,2018-06-29,2018-07-30,2018,June,0,1,LS,,1,1,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000102477,,,
28,Kenya,Meru County,Igembe South Subcounty,,,Igembe Central,37.952045,0.237924,1,0,2018-07-02,2018-07-30,2018,July,0,1,LS,,1,1,WAHIS,https://wahis.woah.org/#/in-event/2574/dashboard,1000102483,,,
29,Kenya,Murang'a County,Kiharu Subcounty,,,Kihingo,37.087673,-0.721406,1,0,2019-01-25,2019-03-21,2019,January,0,1,LS,,4,4,WAHIS,https://wahis.woah.org/#/in-event/2824/dashboard,1000111864,,,
30,Kenya,Nyandarua County,Ndaragwa Subcounty,,,Rurii,36.37819305,-0.21193184,1,,2019-01-24,2019-03-21,2019,January,1,1,HU_LS,15,1,16,Unpublished KEMRI records,,,,,
31,Kenya,Nyandarua County,Ol Kalou Subcounty,,,Karau,36.33845537,-0.31679704,1,,2019-01-24,2019-03-21,2019,January,1,1,HU_LS,,1,1,Unpublished KEMRI records,,,Total human case count unclear,,
32,Kenya,Nyandarua County,Ndaragwa Subcounty,,,Shamata,36.498871,-0.195548,1,0,2019-02-25,2019-03-21,2019,February,0,1,LS,,5,5,WAHIS,https://wahis.woah.org/#/in-event/2824/dashboard,1000111865,,,
33,Kenya,Isiolo County,Isiolo South Subcounty,Sericho Ward,,Eresa Boru,38.781515,1.038371,1,0,2020-11-19,2021-03-18,2020,November,1,1,HU_LS,,24,24,WAHIS,https://wahis.woah.org/#/in-event/3491/dashboard,1000143195,Additional information derived from WHO report (https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON311) where this outbreak is referred to as occurring in Garbatulla Subcounty; Total human case count in Isiolo South (Garbatulla) unclear ,,
34,Kenya,Isiolo County,Isiolo North Subcounty,Cherab Ward,,Korbesa,38.78781,1.210698,1,0,2020-11-19,2021-03-18,2020,November,1,1,HU_LS,,20,20,WAHIS,https://wahis.woah.org/#/in-event/3491/dashboard,1000144227,Additional information derived from WHO report (https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON311) where Korbesa is described as being within Merti Subcounty; Total human case count in Isiolo North (Merti) unclear,,
35,Kenya,Garissa County,Balambala Subcounty,Danyere Ward,,Danyere,38.850756,0.307889,1,0,2020-12-07,2021-03-18,2020,December,0,1,LS,,1,1,WAHIS,https://wahis.woah.org/#/in-event/3491/dashboard,1000143196,"Additional information derived from WHO report (https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON311); Coordinates given by WAHIS fall within Danyere Ward, not Jara Jara Ward, as indicated in the WAHIS event",,
36,Kenya,Garissa County,Ijara Subcounty,Masalani Ward,,Qalaqal,40.240787,-1.627194,1,0,2020-12-07,2021-03-18,2020,December,0,1,LS,,3,3,WAHIS,https://wahis.woah.org/#/in-event/3491/dashboard,1000143198,Additional information derived from WHO report (https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON311),,
