variable,year,month,min,mean,max,n_missing,prop_missing
cum_precip_3_months_prior,2030,January,45,256.271,1135,11744,0.094
cum_precip_3_months_prior,2030,February,37,305.981,806,11744,0.094
cum_precip_3_months_prior,2030,March,12,312.468,907,11744,0.094
cum_precip_3_months_prior,2030,April,8,345.888,1072,11744,0.094
cum_precip_3_months_prior,2030,May,70,393.96,1469,11744,0.094
cum_precip_3_months_prior,2030,June,78,367.066,1684,11744,0.094
cum_precip_3_months_prior,2030,July,27,254.031,1325,11744,0.094
cum_precip_3_months_prior,2030,August,1,137.722,686,11744,0.094
cum_precip_3_months_prior,2030,September,0,104.223,776,11744,0.094
cum_precip_3_months_prior,2030,October,0,109.619,737,11744,0.094
cum_precip_3_months_prior,2030,November,1,128.146,687,11744,0.094
cum_precip_3_months_prior,2030,December,23,182.051,962,11744,0.094
cum_precip_3_months_prior,2050,January,48,262.313,1183,11744,0.094
cum_precip_3_months_prior,2050,February,39,312.967,854,11744,0.094
cum_precip_3_months_prior,2050,March,13,316.011,900,11744,0.094
cum_precip_3_months_prior,2050,April,9,349.095,1053,11744,0.094
cum_precip_3_months_prior,2050,May,78,406.27,1394,11744,0.094
cum_precip_3_months_prior,2050,June,86,382.14,1604,11744,0.094
cum_precip_3_months_prior,2050,July,26,265.125,1251,11744,0.094
cum_precip_3_months_prior,2050,August,1,136.828,683,11744,0.094
cum_precip_3_months_prior,2050,September,0,102.274,769,11744,0.094
cum_precip_3_months_prior,2050,October,0,110.374,752,11744,0.094
cum_precip_3_months_prior,2050,November,1,130.843,711,11744,0.094
cum_precip_3_months_prior,2050,December,24,186.484,995,11744,0.094
cum_precip_3_months_prior,2070,January,49,264.168,1299,11744,0.094
cum_precip_3_months_prior,2070,February,42,315.245,940,11744,0.094
cum_precip_3_months_prior,2070,March,14,321.728,877,11744,0.094
cum_precip_3_months_prior,2070,April,9,358.645,1097,11744,0.094
cum_precip_3_months_prior,2070,May,79,413.249,1460,11744,0.094
cum_precip_3_months_prior,2070,June,87,386.131,1669,11744,0.094
cum_precip_3_months_prior,2070,July,27,267.314,1299,11744,0.094
cum_precip_3_months_prior,2070,August,1,139.987,708,11744,0.094
cum_precip_3_months_prior,2070,September,0,105.419,812,11744,0.094
cum_precip_3_months_prior,2070,October,0,114.362,803,11744,0.094
cum_precip_3_months_prior,2070,November,1,136.009,723,11744,0.094
cum_precip_3_months_prior,2070,December,22,191.211,1097,11744,0.094
monthly_precip,2030,January,0,102.307,317,11744,0.094
monthly_precip,2030,February,0,98.493,309,11744,0.094
monthly_precip,2030,March,8,145.088,486,11744,0.094
monthly_precip,2030,April,18,150.379,818,11744,0.094
monthly_precip,2030,May,1,71.599,451,11744,0.094
monthly_precip,2030,June,0,32.052,211,11744,0.094
monthly_precip,2030,July,0,34.07,278,11744,0.094
monthly_precip,2030,August,0,38.101,290,11744,0.094
monthly_precip,2030,September,0,37.448,228,11744,0.094
monthly_precip,2030,October,1,52.597,385,11744,0.094
monthly_precip,2030,November,20,92.006,548,11744,0.094
monthly_precip,2030,December,3,111.668,302,11744,0.094
monthly_precip,2050,January,0,103.74,310,11744,0.094
monthly_precip,2050,February,0,97.866,306,11744,0.094
monthly_precip,2050,March,9,147.489,495,11744,0.094
monthly_precip,2050,April,17,160.915,801,11744,0.094
monthly_precip,2050,May,1,73.736,458,11744,0.094
monthly_precip,2050,June,0,30.475,206,11744,0.094
monthly_precip,2050,July,0,32.618,267,11744,0.094
monthly_precip,2050,August,0,39.182,306,11744,0.094
monthly_precip,2050,September,0,38.575,236,11744,0.094
monthly_precip,2050,October,1,53.086,395,11744,0.094
monthly_precip,2050,November,21,94.823,571,11744,0.094
monthly_precip,2050,December,3,114.404,298,11744,0.094
monthly_precip,2070,January,0,106.246,311,11744,0.094
monthly_precip,2070,February,0,102.424,312,11744,0.094
monthly_precip,2070,March,9,149.975,500,11744,0.094
monthly_precip,2070,April,18,160.849,801,11744,0.094
monthly_precip,2070,May,1,75.307,454,11744,0.094
monthly_precip,2070,June,0,31.158,208,11744,0.094
monthly_precip,2070,July,0,33.522,280,11744,0.094
monthly_precip,2070,August,0,40.739,327,11744,0.094
monthly_precip,2070,September,0,40.101,238,11744,0.094
monthly_precip,2070,October,1,55.169,428,11744,0.094
monthly_precip,2070,November,18,95.941,638,11744,0.094
monthly_precip,2070,December,4,113.058,294,11744,0.094
monthly_precip_lag_1,2030,January,3,111.668,302,11744,0.094
monthly_precip_lag_1,2030,February,0,102.307,317,11744,0.094
monthly_precip_lag_1,2030,March,0,98.493,309,11744,0.094
monthly_precip_lag_1,2030,April,8,145.088,486,11744,0.094
monthly_precip_lag_1,2030,May,18,150.379,818,11744,0.094
monthly_precip_lag_1,2030,June,1,71.599,451,11744,0.094
monthly_precip_lag_1,2030,July,0,32.052,211,11744,0.094
monthly_precip_lag_1,2030,August,0,34.07,278,11744,0.094
monthly_precip_lag_1,2030,September,0,38.101,290,11744,0.094
monthly_precip_lag_1,2030,October,0,37.448,228,11744,0.094
monthly_precip_lag_1,2030,November,1,52.597,385,11744,0.094
monthly_precip_lag_1,2030,December,20,92.006,548,11744,0.094
monthly_precip_lag_1,2050,January,3,114.404,298,11744,0.094
monthly_precip_lag_1,2050,February,0,103.74,310,11744,0.094
monthly_precip_lag_1,2050,March,0,97.866,306,11744,0.094
monthly_precip_lag_1,2050,April,9,147.489,495,11744,0.094
monthly_precip_lag_1,2050,May,17,160.915,801,11744,0.094
monthly_precip_lag_1,2050,June,1,73.736,458,11744,0.094
monthly_precip_lag_1,2050,July,0,30.475,206,11744,0.094
monthly_precip_lag_1,2050,August,0,32.618,267,11744,0.094
monthly_precip_lag_1,2050,September,0,39.182,306,11744,0.094
monthly_precip_lag_1,2050,October,0,38.575,236,11744,0.094
monthly_precip_lag_1,2050,November,1,53.086,395,11744,0.094
monthly_precip_lag_1,2050,December,21,94.823,571,11744,0.094
monthly_precip_lag_1,2070,January,4,113.058,294,11744,0.094
monthly_precip_lag_1,2070,February,0,106.246,311,11744,0.094
monthly_precip_lag_1,2070,March,0,102.424,312,11744,0.094
monthly_precip_lag_1,2070,April,9,149.975,500,11744,0.094
monthly_precip_lag_1,2070,May,18,160.849,801,11744,0.094
monthly_precip_lag_1,2070,June,1,75.307,454,11744,0.094
monthly_precip_lag_1,2070,July,0,31.158,208,11744,0.094
monthly_precip_lag_1,2070,August,0,33.522,280,11744,0.094
monthly_precip_lag_1,2070,September,0,40.739,327,11744,0.094
monthly_precip_lag_1,2070,October,0,40.101,238,11744,0.094
monthly_precip_lag_1,2070,November,1,55.169,428,11744,0.094
monthly_precip_lag_1,2070,December,18,95.941,638,11744,0.094
monthly_precip_lag_2,2030,January,20,92.006,548,11744,0.094
monthly_precip_lag_2,2030,February,3,111.668,302,11744,0.094
monthly_precip_lag_2,2030,March,0,102.307,317,11744,0.094
monthly_precip_lag_2,2030,April,0,98.493,309,11744,0.094
monthly_precip_lag_2,2030,May,8,145.088,486,11744,0.094
monthly_precip_lag_2,2030,June,18,150.379,818,11744,0.094
monthly_precip_lag_2,2030,July,1,71.599,451,11744,0.094
monthly_precip_lag_2,2030,August,0,32.052,211,11744,0.094
monthly_precip_lag_2,2030,September,0,34.07,278,11744,0.094
monthly_precip_lag_2,2030,October,0,38.101,290,11744,0.094
monthly_precip_lag_2,2030,November,0,37.448,228,11744,0.094
monthly_precip_lag_2,2030,December,1,52.597,385,11744,0.094
monthly_precip_lag_2,2050,January,21,94.823,571,11744,0.094
monthly_precip_lag_2,2050,February,3,114.404,298,11744,0.094
monthly_precip_lag_2,2050,March,0,103.74,310,11744,0.094
monthly_precip_lag_2,2050,April,0,97.866,306,11744,0.094
monthly_precip_lag_2,2050,May,9,147.489,495,11744,0.094
monthly_precip_lag_2,2050,June,17,160.915,801,11744,0.094
monthly_precip_lag_2,2050,July,1,73.736,458,11744,0.094
monthly_precip_lag_2,2050,August,0,30.475,206,11744,0.094
monthly_precip_lag_2,2050,September,0,32.618,267,11744,0.094
monthly_precip_lag_2,2050,October,0,39.182,306,11744,0.094
monthly_precip_lag_2,2050,November,0,38.575,236,11744,0.094
monthly_precip_lag_2,2050,December,1,53.086,395,11744,0.094
monthly_precip_lag_2,2070,January,18,95.941,638,11744,0.094
monthly_precip_lag_2,2070,February,4,113.058,294,11744,0.094
monthly_precip_lag_2,2070,March,0,106.246,311,11744,0.094
monthly_precip_lag_2,2070,April,0,102.424,312,11744,0.094
monthly_precip_lag_2,2070,May,9,149.975,500,11744,0.094
monthly_precip_lag_2,2070,June,18,160.849,801,11744,0.094
monthly_precip_lag_2,2070,July,1,75.307,454,11744,0.094
monthly_precip_lag_2,2070,August,0,31.158,208,11744,0.094
monthly_precip_lag_2,2070,September,0,33.522,280,11744,0.094
monthly_precip_lag_2,2070,October,0,40.739,327,11744,0.094
monthly_precip_lag_2,2070,November,0,40.101,238,11744,0.094
monthly_precip_lag_2,2070,December,1,55.169,428,11744,0.094
monthly_precip_lag_3,2030,January,1,52.597,385,11744,0.094
monthly_precip_lag_3,2030,February,20,92.006,548,11744,0.094
monthly_precip_lag_3,2030,March,3,111.668,302,11744,0.094
monthly_precip_lag_3,2030,April,0,102.307,317,11744,0.094
monthly_precip_lag_3,2030,May,0,98.493,309,11744,0.094
monthly_precip_lag_3,2030,June,8,145.088,486,11744,0.094
monthly_precip_lag_3,2030,July,18,150.379,818,11744,0.094
monthly_precip_lag_3,2030,August,1,71.599,451,11744,0.094
monthly_precip_lag_3,2030,September,0,32.052,211,11744,0.094
monthly_precip_lag_3,2030,October,0,34.07,278,11744,0.094
monthly_precip_lag_3,2030,November,0,38.101,290,11744,0.094
monthly_precip_lag_3,2030,December,0,37.448,228,11744,0.094
monthly_precip_lag_3,2050,January,1,53.086,395,11744,0.094
monthly_precip_lag_3,2050,February,21,94.823,571,11744,0.094
monthly_precip_lag_3,2050,March,3,114.404,298,11744,0.094
monthly_precip_lag_3,2050,April,0,103.74,310,11744,0.094
monthly_precip_lag_3,2050,May,0,97.866,306,11744,0.094
monthly_precip_lag_3,2050,June,9,147.489,495,11744,0.094
monthly_precip_lag_3,2050,July,17,160.915,801,11744,0.094
monthly_precip_lag_3,2050,August,1,73.736,458,11744,0.094
monthly_precip_lag_3,2050,September,0,30.475,206,11744,0.094
monthly_precip_lag_3,2050,October,0,32.618,267,11744,0.094
monthly_precip_lag_3,2050,November,0,39.182,306,11744,0.094
monthly_precip_lag_3,2050,December,0,38.575,236,11744,0.094
monthly_precip_lag_3,2070,January,1,55.169,428,11744,0.094
monthly_precip_lag_3,2070,February,18,95.941,638,11744,0.094
monthly_precip_lag_3,2070,March,4,113.058,294,11744,0.094
monthly_precip_lag_3,2070,April,0,106.246,311,11744,0.094
monthly_precip_lag_3,2070,May,0,102.424,312,11744,0.094
monthly_precip_lag_3,2070,June,9,149.975,500,11744,0.094
monthly_precip_lag_3,2070,July,18,160.849,801,11744,0.094
monthly_precip_lag_3,2070,August,1,75.307,454,11744,0.094
monthly_precip_lag_3,2070,September,0,31.158,208,11744,0.094
monthly_precip_lag_3,2070,October,0,33.522,280,11744,0.094
monthly_precip_lag_3,2070,November,0,40.739,327,11744,0.094
monthly_precip_lag_3,2070,December,0,40.101,238,11744,0.094
monthly_tmax,2030,January,6,30.751,39.7,11744,0.094
monthly_tmax,2030,February,7.5,31.314,39.9,11744,0.094
monthly_tmax,2030,March,6.8,30.913,40.2,11744,0.094
monthly_tmax,2030,April,5.2,29.831,38.5,11744,0.094
monthly_tmax,2030,May,4.4,29.303,38.6,11744,0.094
monthly_tmax,2030,June,5.2,28.798,38.1,11744,0.094
monthly_tmax,2030,July,4.6,28.204,37.1,11744,0.094
monthly_tmax,2030,August,4.8,28.836,37.4,11744,0.094
monthly_tmax,2030,September,6.3,30.276,39,11744,0.094
monthly_tmax,2030,October,6.9,31.009,39.1,11744,0.094
monthly_tmax,2030,November,5.4,30.794,38.5,11744,0.094
monthly_tmax,2030,December,4.9,30.46,38.6,11744,0.094
monthly_tmax,2050,January,6.2,31.428,40.4,11744,0.094
monthly_tmax,2050,February,8.1,32.204,40.8,11744,0.094
monthly_tmax,2050,March,7.5,31.791,41,11744,0.094
monthly_tmax,2050,April,5.7,30.562,39.1,11744,0.094
monthly_tmax,2050,May,5,30.042,39,11744,0.094
monthly_tmax,2050,June,5.9,29.681,38.9,11744,0.094
monthly_tmax,2050,July,5.4,29.14,38.1,11744,0.094
monthly_tmax,2050,August,5.8,29.779,38.2,11744,0.094
monthly_tmax,2050,September,7,31.056,39.7,11744,0.094
monthly_tmax,2050,October,7.7,31.861,39.9,11744,0.094
monthly_tmax,2050,November,5.9,31.599,39.3,11744,0.094
monthly_tmax,2050,December,5.1,31.081,39.1,11744,0.094
monthly_tmax,2070,January,6.6,32.001,41,11744,0.094
monthly_tmax,2070,February,8.5,32.688,41.3,11744,0.094
monthly_tmax,2070,March,7.9,32.356,41.5,11744,0.094
monthly_tmax,2070,April,6.5,31.219,39.8,11744,0.094
monthly_tmax,2070,May,5.9,30.836,39.9,11744,0.094
monthly_tmax,2070,June,6.8,30.456,39.6,11744,0.094
monthly_tmax,2070,July,6.2,29.91,38.8,11744,0.094
monthly_tmax,2070,August,6.4,30.437,38.8,11744,0.094
