variable,year,month,min,mean,max,n_missing,prop_missing
cum_precip_3_months_prior,2030,January,58,353.572,1577,11744,0.094
cum_precip_3_months_prior,2030,February,47,415.217,1105,11744,0.094
cum_precip_3_months_prior,2030,March,14,414.87,1314,11744,0.094
cum_precip_3_months_prior,2030,April,11,450.61,1404,11744,0.094
cum_precip_3_months_prior,2030,May,77,503.777,1653,11744,0.094
cum_precip_3_months_prior,2030,June,89,472.524,1929,11744,0.094
cum_precip_3_months_prior,2030,July,35,326.173,1464,11744,0.094
cum_precip_3_months_prior,2030,August,1,179.003,889,11744,0.094
cum_precip_3_months_prior,2030,September,0,122.846,916,11744,0.094
cum_precip_3_months_prior,2030,October,0,130.61,896,11744,0.094
cum_precip_3_months_prior,2030,November,1,162.968,919,11744,0.094
cum_precip_3_months_prior,2030,December,30,250.725,1401,11744,0.094
cum_precip_3_months_prior,2050,January,59,371.466,1664,11744,0.094
cum_precip_3_months_prior,2050,February,49,431.15,1208,11744,0.094
cum_precip_3_months_prior,2050,March,14,426.641,1386,11744,0.094
cum_precip_3_months_prior,2050,April,11,446.151,1469,11744,0.094
cum_precip_3_months_prior,2050,May,79,507.9,1906,11744,0.094
cum_precip_3_months_prior,2050,June,91,473.609,2179,11744,0.094
cum_precip_3_months_prior,2050,July,37,336.874,1729,11744,0.094
cum_precip_3_months_prior,2050,August,1,177.013,908,11744,0.094
cum_precip_3_months_prior,2050,September,0,130.449,1059,11744,0.094
cum_precip_3_months_prior,2050,October,0,138.032,971,11744,0.094
cum_precip_3_months_prior,2050,November,1,176.46,1016,11744,0.094
cum_precip_3_months_prior,2050,December,35,261.824,1452,11744,0.094
cum_precip_3_months_prior,2070,January,66,371.112,1744,11744,0.094
cum_precip_3_months_prior,2070,February,49,440.778,1190,11744,0.094
cum_precip_3_months_prior,2070,March,15,430.547,1358,11744,0.094
cum_precip_3_months_prior,2070,April,11,461.738,1559,11744,0.094
cum_precip_3_months_prior,2070,May,80,508.904,1982,11744,0.094
cum_precip_3_months_prior,2070,June,95,485.052,2239,11744,0.094
cum_precip_3_months_prior,2070,July,36,337.024,1708,11744,0.094
cum_precip_3_months_prior,2070,August,1,180.871,931,11744,0.094
cum_precip_3_months_prior,2070,September,0,124.791,935,11744,0.094
cum_precip_3_months_prior,2070,October,0,135.657,949,11744,0.094
cum_precip_3_months_prior,2070,November,1,174.978,978,11744,0.094
cum_precip_3_months_prior,2070,December,33,265.141,1536,11744,0.094
monthly_precip,2030,January,0,134.702,490,11744,0.094
monthly_precip,2030,February,0,130.812,488,11744,0.094
monthly_precip,2030,March,11,185.096,601,11744,0.094
monthly_precip,2030,April,23,187.869,921,11744,0.094
monthly_precip,2030,May,1,99.559,537,11744,0.094
monthly_precip,2030,June,0,38.745,286,11744,0.094
monthly_precip,2030,July,0,40.699,314,11744,0.094
monthly_precip,2030,August,0,43.402,341,11744,0.094
monthly_precip,2030,September,0,46.509,289,11744,0.094
monthly_precip,2030,October,1,73.057,593,11744,0.094
monthly_precip,2030,November,28,131.159,771,11744,0.094
monthly_precip,2030,December,4,149.356,450,11744,0.094
monthly_precip,2050,January,0,138.665,537,11744,0.094
monthly_precip,2050,February,0,130.22,424,11744,0.094
monthly_precip,2050,March,11,177.266,620,11744,0.094
monthly_precip,2050,April,26,200.414,1085,11744,0.094
monthly_precip,2050,May,1,95.929,541,11744,0.094
monthly_precip,2050,June,0,40.53,294,11744,0.094
monthly_precip,2050,July,0,40.554,329,11744,0.094
monthly_precip,2050,August,0,49.365,440,11744,0.094
monthly_precip,2050,September,0,48.114,322,11744,0.094
monthly_precip,2050,October,1,78.981,620,11744,0.094
monthly_precip,2050,November,33,134.729,793,11744,0.094
monthly_precip,2050,December,3,157.756,455,11744,0.094
monthly_precip,2070,January,0,148.196,494,11744,0.094
monthly_precip,2070,February,0,127.84,428,11744,0.094
monthly_precip,2070,March,11,185.702,671,11744,0.094
monthly_precip,2070,April,24,195.362,1083,11744,0.094
monthly_precip,2070,May,1,103.989,721,11744,0.094
monthly_precip,2070,June,0,37.674,300,11744,0.094
monthly_precip,2070,July,0,39.208,319,11744,0.094
monthly_precip,2070,August,0,47.908,388,11744,0.094
monthly_precip,2070,September,0,48.54,305,11744,0.094
monthly_precip,2070,October,1,78.53,621,11744,0.094
monthly_precip,2070,November,30,138.072,875,11744,0.094
monthly_precip,2070,December,3,154.511,490,11744,0.094
monthly_precip_lag_1,2030,January,4,149.356,450,11744,0.094
monthly_precip_lag_1,2030,February,0,134.702,490,11744,0.094
monthly_precip_lag_1,2030,March,0,130.812,488,11744,0.094
monthly_precip_lag_1,2030,April,11,185.096,601,11744,0.094
monthly_precip_lag_1,2030,May,23,187.869,921,11744,0.094
monthly_precip_lag_1,2030,June,1,99.559,537,11744,0.094
monthly_precip_lag_1,2030,July,0,38.745,286,11744,0.094
monthly_precip_lag_1,2030,August,0,40.699,314,11744,0.094
monthly_precip_lag_1,2030,September,0,43.402,341,11744,0.094
monthly_precip_lag_1,2030,October,0,46.509,289,11744,0.094
monthly_precip_lag_1,2030,November,1,73.057,593,11744,0.094
monthly_precip_lag_1,2030,December,28,131.159,771,11744,0.094
monthly_precip_lag_1,2050,January,3,157.756,455,11744,0.094
monthly_precip_lag_1,2050,February,0,138.665,537,11744,0.094
monthly_precip_lag_1,2050,March,0,130.22,424,11744,0.094
monthly_precip_lag_1,2050,April,11,177.266,620,11744,0.094
monthly_precip_lag_1,2050,May,26,200.414,1085,11744,0.094
monthly_precip_lag_1,2050,June,1,95.929,541,11744,0.094
monthly_precip_lag_1,2050,July,0,40.53,294,11744,0.094
monthly_precip_lag_1,2050,August,0,40.554,329,11744,0.094
monthly_precip_lag_1,2050,September,0,49.365,440,11744,0.094
monthly_precip_lag_1,2050,October,0,48.114,322,11744,0.094
monthly_precip_lag_1,2050,November,1,78.981,620,11744,0.094
monthly_precip_lag_1,2050,December,33,134.729,793,11744,0.094
monthly_precip_lag_1,2070,January,3,154.511,490,11744,0.094
monthly_precip_lag_1,2070,February,0,148.196,494,11744,0.094
monthly_precip_lag_1,2070,March,0,127.84,428,11744,0.094
monthly_precip_lag_1,2070,April,11,185.702,671,11744,0.094
monthly_precip_lag_1,2070,May,24,195.362,1083,11744,0.094
monthly_precip_lag_1,2070,June,1,103.989,721,11744,0.094
monthly_precip_lag_1,2070,July,0,37.674,300,11744,0.094
monthly_precip_lag_1,2070,August,0,39.208,319,11744,0.094
monthly_precip_lag_1,2070,September,0,47.908,388,11744,0.094
monthly_precip_lag_1,2070,October,0,48.54,305,11744,0.094
monthly_precip_lag_1,2070,November,1,78.53,621,11744,0.094
monthly_precip_lag_1,2070,December,30,138.072,875,11744,0.094
monthly_precip_lag_2,2030,January,28,131.159,771,11744,0.094
monthly_precip_lag_2,2030,February,4,149.356,450,11744,0.094
monthly_precip_lag_2,2030,March,0,134.702,490,11744,0.094
monthly_precip_lag_2,2030,April,0,130.812,488,11744,0.094
monthly_precip_lag_2,2030,May,11,185.096,601,11744,0.094
monthly_precip_lag_2,2030,June,23,187.869,921,11744,0.094
monthly_precip_lag_2,2030,July,1,99.559,537,11744,0.094
monthly_precip_lag_2,2030,August,0,38.745,286,11744,0.094
monthly_precip_lag_2,2030,September,0,40.699,314,11744,0.094
monthly_precip_lag_2,2030,October,0,43.402,341,11744,0.094
monthly_precip_lag_2,2030,November,0,46.509,289,11744,0.094
monthly_precip_lag_2,2030,December,1,73.057,593,11744,0.094
monthly_precip_lag_2,2050,January,33,134.729,793,11744,0.094
monthly_precip_lag_2,2050,February,3,157.756,455,11744,0.094
monthly_precip_lag_2,2050,March,0,138.665,537,11744,0.094
monthly_precip_lag_2,2050,April,0,130.22,424,11744,0.094
monthly_precip_lag_2,2050,May,11,177.266,620,11744,0.094
monthly_precip_lag_2,2050,June,26,200.414,1085,11744,0.094
monthly_precip_lag_2,2050,July,1,95.929,541,11744,0.094
monthly_precip_lag_2,2050,August,0,40.53,294,11744,0.094
monthly_precip_lag_2,2050,September,0,40.554,329,11744,0.094
monthly_precip_lag_2,2050,October,0,49.365,440,11744,0.094
monthly_precip_lag_2,2050,November,0,48.114,322,11744,0.094
monthly_precip_lag_2,2050,December,1,78.981,620,11744,0.094
monthly_precip_lag_2,2070,January,30,138.072,875,11744,0.094
monthly_precip_lag_2,2070,February,3,154.511,490,11744,0.094
monthly_precip_lag_2,2070,March,0,148.196,494,11744,0.094
monthly_precip_lag_2,2070,April,0,127.84,428,11744,0.094
monthly_precip_lag_2,2070,May,11,185.702,671,11744,0.094
monthly_precip_lag_2,2070,June,24,195.362,1083,11744,0.094
monthly_precip_lag_2,2070,July,1,103.989,721,11744,0.094
monthly_precip_lag_2,2070,August,0,37.674,300,11744,0.094
monthly_precip_lag_2,2070,September,0,39.208,319,11744,0.094
monthly_precip_lag_2,2070,October,0,47.908,388,11744,0.094
monthly_precip_lag_2,2070,November,0,48.54,305,11744,0.094
monthly_precip_lag_2,2070,December,1,78.53,621,11744,0.094
monthly_precip_lag_3,2030,January,1,73.057,593,11744,0.094
monthly_precip_lag_3,2030,February,28,131.159,771,11744,0.094
monthly_precip_lag_3,2030,March,4,149.356,450,11744,0.094
monthly_precip_lag_3,2030,April,0,134.702,490,11744,0.094
monthly_precip_lag_3,2030,May,0,130.812,488,11744,0.094
monthly_precip_lag_3,2030,June,11,185.096,601,11744,0.094
monthly_precip_lag_3,2030,July,23,187.869,921,11744,0.094
monthly_precip_lag_3,2030,August,1,99.559,537,11744,0.094
monthly_precip_lag_3,2030,September,0,38.745,286,11744,0.094
monthly_precip_lag_3,2030,October,0,40.699,314,11744,0.094
monthly_precip_lag_3,2030,November,0,43.402,341,11744,0.094
monthly_precip_lag_3,2030,December,0,46.509,289,11744,0.094
monthly_precip_lag_3,2050,January,1,78.981,620,11744,0.094
monthly_precip_lag_3,2050,February,33,134.729,793,11744,0.094
monthly_precip_lag_3,2050,March,3,157.756,455,11744,0.094
monthly_precip_lag_3,2050,April,0,138.665,537,11744,0.094
monthly_precip_lag_3,2050,May,0,130.22,424,11744,0.094
monthly_precip_lag_3,2050,June,11,177.266,620,11744,0.094
monthly_precip_lag_3,2050,July,26,200.414,1085,11744,0.094
monthly_precip_lag_3,2050,August,1,95.929,541,11744,0.094
monthly_precip_lag_3,2050,September,0,40.53,294,11744,0.094
monthly_precip_lag_3,2050,October,0,40.554,329,11744,0.094
monthly_precip_lag_3,2050,November,0,49.365,440,11744,0.094
monthly_precip_lag_3,2050,December,0,48.114,322,11744,0.094
monthly_precip_lag_3,2070,January,1,78.53,621,11744,0.094
monthly_precip_lag_3,2070,February,30,138.072,875,11744,0.094
monthly_precip_lag_3,2070,March,3,154.511,490,11744,0.094
monthly_precip_lag_3,2070,April,0,148.196,494,11744,0.094
monthly_precip_lag_3,2070,May,0,127.84,428,11744,0.094
monthly_precip_lag_3,2070,June,11,185.702,671,11744,0.094
monthly_precip_lag_3,2070,July,24,195.362,1083,11744,0.094
monthly_precip_lag_3,2070,August,1,103.989,721,11744,0.094
monthly_precip_lag_3,2070,September,0,37.674,300,11744,0.094
monthly_precip_lag_3,2070,October,0,39.208,319,11744,0.094
monthly_precip_lag_3,2070,November,0,47.908,388,11744,0.094
monthly_precip_lag_3,2070,December,0,48.54,305,11744,0.094
monthly_tmax,2030,January,5.8,30.615,39.5,11744,0.094
monthly_tmax,2030,February,7.4,30.961,39.6,11744,0.094
monthly_tmax,2030,March,6.7,30.614,39.8,11744,0.094
monthly_tmax,2030,April,5,29.705,38.3,11744,0.094
monthly_tmax,2030,May,4.2,28.884,38,11744,0.094
monthly_tmax,2030,June,4.4,28.147,37,11744,0.094
monthly_tmax,2030,July,4,27.853,37.1,11744,0.094
monthly_tmax,2030,August,4.4,28.557,37.3,11744,0.094
monthly_tmax,2030,September,5.9,29.837,38.1,11744,0.094
monthly_tmax,2030,October,6.6,30.532,38.5,11744,0.094
monthly_tmax,2030,November,5,30.308,38.1,11744,0.094
monthly_tmax,2030,December,5,30.142,38.6,11744,0.094
monthly_tmax,2050,January,6.4,30.801,39.7,11744,0.094
monthly_tmax,2050,February,7.5,31.214,39.8,11744,0.094
monthly_tmax,2050,March,7.4,31.05,40.1,11744,0.094
monthly_tmax,2050,April,5.7,29.91,38.2,11744,0.094
monthly_tmax,2050,May,5,29.327,38.3,11744,0.094
monthly_tmax,2050,June,5.2,28.478,37.2,11744,0.094
monthly_tmax,2050,July,4.4,28.083,37,11744,0.094
monthly_tmax,2050,August,4.8,28.71,36.8,11744,0.094
monthly_tmax,2050,September,6.3,30.118,38.4,11744,0.094
monthly_tmax,2050,October,6.6,30.643,38.6,11744,0.094
monthly_tmax,2050,November,5.2,30.336,38.3,11744,0.094
monthly_tmax,2050,December,4.9,30.296,38.7,11744,0.094
