variable,year,month,min,mean,max,n_missing,prop_missing
cum_precip_3_months_prior,2030,January,56,277.04,1375,11744,0.094
cum_precip_3_months_prior,2030,February,44,312.775,925,11744,0.094
cum_precip_3_months_prior,2030,March,14,307.494,900,11744,0.094
cum_precip_3_months_prior,2030,April,9,339.456,1029,11744,0.094
cum_precip_3_months_prior,2030,May,62,386.426,1411,11744,0.094
cum_precip_3_months_prior,2030,June,81,360.945,1631,11744,0.094
cum_precip_3_months_prior,2030,July,27,244.283,1299,11744,0.094
cum_precip_3_months_prior,2030,August,1,135.839,722,11744,0.094
cum_precip_3_months_prior,2030,September,0,98.71,655,11744,0.094
cum_precip_3_months_prior,2030,October,0,108.253,685,11744,0.094
cum_precip_3_months_prior,2030,November,1,133.993,655,11744,0.094
cum_precip_3_months_prior,2030,December,25,201.883,1177,11744,0.094
cum_precip_3_months_prior,2050,January,58,275.79,1351,11744,0.094
cum_precip_3_months_prior,2050,February,50,320.523,943,11744,0.094
cum_precip_3_months_prior,2050,March,16,318.545,880,11744,0.094
cum_precip_3_months_prior,2050,April,9,351.901,1115,11744,0.094
cum_precip_3_months_prior,2050,May,78,405.869,1419,11744,0.094
cum_precip_3_months_prior,2050,June,85,379.836,1606,11744,0.094
cum_precip_3_months_prior,2050,July,27,265.533,1265,11744,0.094
cum_precip_3_months_prior,2050,August,1,143.634,740,11744,0.094
cum_precip_3_months_prior,2050,September,0,103.749,677,11744,0.094
cum_precip_3_months_prior,2050,October,0,110.683,667,11744,0.094
cum_precip_3_months_prior,2050,November,1,133.883,653,11744,0.094
cum_precip_3_months_prior,2050,December,26,201.778,1152,11744,0.094
cum_precip_3_months_prior,2070,January,66,294.064,1474,11744,0.094
cum_precip_3_months_prior,2070,February,55,337.543,1016,11744,0.094
cum_precip_3_months_prior,2070,March,19,339.1,929,11744,0.094
cum_precip_3_months_prior,2070,April,10,374.647,1214,11744,0.094
cum_precip_3_months_prior,2070,May,79,420.74,1372,11744,0.094
