variable,year,month,min,mean,max,n_missing,prop_missing
cum_precip_3_months_prior,2030,January,50,266.276,1208,11744,0.094
cum_precip_3_months_prior,2030,February,42,319.037,869,11744,0.094
cum_precip_3_months_prior,2030,March,14,325.375,894,11744,0.094
cum_precip_3_months_prior,2030,April,8,339.881,1032,11744,0.094
cum_precip_3_months_prior,2030,May,66,380.975,1322,11744,0.094
cum_precip_3_months_prior,2030,June,75,352.348,1517,11744,0.094
cum_precip_3_months_prior,2030,July,26,249.409,1229,11744,0.094
cum_precip_3_months_prior,2030,August,1,132.117,651,11744,0.094
cum_precip_3_months_prior,2030,September,0,94.866,693,11744,0.094
cum_precip_3_months_prior,2030,October,0,101.906,687,11744,0.094
cum_precip_3_months_prior,2030,November,1,125.342,654,11744,0.094
cum_precip_3_months_prior,2030,December,21,184.883,1020,11744,0.094
cum_precip_3_months_prior,2050,January,51,267.653,1224,11744,0.094
cum_precip_3_months_prior,2050,February,44,323.15,896,11744,0.094
cum_precip_3_months_prior,2050,March,15,328.892,883,11744,0.094
cum_precip_3_months_prior,2050,April,8,353.163,1048,11744,0.094
cum_precip_3_months_prior,2050,May,70,392.193,1360,11744,0.094
cum_precip_3_months_prior,2050,June,79,362.856,1554,11744,0.094
cum_precip_3_months_prior,2050,July,26,250.099,1235,11744,0.094
cum_precip_3_months_prior,2050,August,1,132.112,686,11744,0.094
cum_precip_3_months_prior,2050,September,0,97.366,736,11744,0.094
cum_precip_3_months_prior,2050,October,0,106.583,745,11744,0.094
cum_precip_3_months_prior,2050,November,1,130.043,662,11744,0.094
cum_precip_3_months_prior,2050,December,20,188.383,1026,11744,0.094
cum_precip_3_months_prior,2070,January,57,266.199,1212,11744,0.094
cum_precip_3_months_prior,2070,February,45,322.415,891,11744,0.094
cum_precip_3_months_prior,2070,March,15,339.065,896,11744,0.094
cum_precip_3_months_prior,2070,April,9,374.053,1078,11744,0.094
cum_precip_3_months_prior,2070,May,79,429.839,1408,11744,0.094
cum_precip_3_months_prior,2070,June,90,395.201,1592,11744,0.094
cum_precip_3_months_prior,2070,July,27,273.536,1260,11744,0.094
cum_precip_3_months_prior,2070,August,1,137.942,678,11744,0.094
