variable,year,month,min,mean,max,n_missing,prop_missing
cum_precip_3_months_prior,2030,January,46,277.375,1331,11744,0.094
cum_precip_3_months_prior,2030,February,40,320.688,896,11744,0.094
cum_precip_3_months_prior,2030,March,11,312.59,953,11744,0.094
cum_precip_3_months_prior,2030,April,8,324.552,1024,11744,0.094
cum_precip_3_months_prior,2030,May,64,366.233,1392,11744,0.094
cum_precip_3_months_prior,2030,June,73,350.849,1640,11744,0.094
cum_precip_3_months_prior,2030,July,28,254.379,1324,11744,0.094
cum_precip_3_months_prior,2030,August,1,142.9,729,11744,0.094
cum_precip_3_months_prior,2030,September,0,102.001,752,11744,0.094
cum_precip_3_months_prior,2030,October,0,107.108,724,11744,0.094
cum_precip_3_months_prior,2030,November,1,133.592,668,11744,0.094
cum_precip_3_months_prior,2030,December,26,197.974,1159,11744,0.094
cum_precip_3_months_prior,2050,January,46,275.462,1344,11744,0.094
cum_precip_3_months_prior,2050,February,40,320.521,921,11744,0.094
cum_precip_3_months_prior,2050,March,11,314.141,920,11744,0.094
cum_precip_3_months_prior,2050,April,8,334.375,1073,11744,0.094
cum_precip_3_months_prior,2050,May,64,376.142,1410,11744,0.094
cum_precip_3_months_prior,2050,June,74,354.027,1654,11744,0.094
cum_precip_3_months_prior,2050,July,28,250.425,1327,11744,0.094
cum_precip_3_months_prior,2050,August,1,137.507,687,11744,0.094
cum_precip_3_months_prior,2050,September,0,101.481,760,11744,0.094
cum_precip_3_months_prior,2050,October,0,107.575,747,11744,0.094
cum_precip_3_months_prior,2050,November,1,133.668,659,11744,0.094
cum_precip_3_months_prior,2050,December,26,198.19,1173,11744,0.094
cum_precip_3_months_prior,2070,January,47,275.862,1372,11744,0.094
cum_precip_3_months_prior,2070,February,40,321.08,941,11744,0.094
cum_precip_3_months_prior,2070,March,12,320.563,910,11744,0.094
cum_precip_3_months_prior,2070,April,8,333.133,1077,11744,0.094
cum_precip_3_months_prior,2070,May,64,376.765,1370,11744,0.094
cum_precip_3_months_prior,2070,June,73,350.937,1599,11744,0.094
cum_precip_3_months_prior,2070,July,27,252.88,1287,11744,0.094
cum_precip_3_months_prior,2070,August,1,137.656,701,11744,0.094
cum_precip_3_months_prior,2070,September,0,99.206,738,11744,0.094
cum_precip_3_months_prior,2070,October,0,105.357,724,11744,0.094
cum_precip_3_months_prior,2070,November,1,131.731,655,11744,0.094
cum_precip_3_months_prior,2070,December,25,196.526,1187,11744,0.094
monthly_precip,2030,January,0,102.075,328,11744,0.094
monthly_precip,2030,February,0,93.608,319,11744,0.094
monthly_precip,2030,March,8,128.869,449,11744,0.094
monthly_precip,2030,April,18,143.757,780,11744,0.094
monthly_precip,2030,May,1,78.223,518,11744,0.094
monthly_precip,2030,June,0,32.399,210,11744,0.094
monthly_precip,2030,July,0,32.278,249,11744,0.094
monthly_precip,2030,August,0,37.324,298,11744,0.094
monthly_precip,2030,September,0,37.506,219,11744,0.094
monthly_precip,2030,October,1,58.762,487,11744,0.094
monthly_precip,2030,November,23,101.705,640,11744,0.094
monthly_precip,2030,December,3,116.908,320,11744,0.094
monthly_precip,2050,January,0,103.747,327,11744,0.094
monthly_precip,2050,February,0,95.688,298,11744,0.094
monthly_precip,2050,March,8,134.939,477,11744,0.094
monthly_precip,2050,April,18,145.514,787,11744,0.094
monthly_precip,2050,May,1,73.573,477,11744,0.094
monthly_precip,2050,June,0,31.338,205,11744,0.094
monthly_precip,2050,July,0,32.595,261,11744,0.094
monthly_precip,2050,August,0,37.548,303,11744,0.094
monthly_precip,2050,September,0,37.432,213,11744,0.094
monthly_precip,2050,October,1,58.689,481,11744,0.094
monthly_precip,2050,November,23,102.069,660,11744,0.094
monthly_precip,2050,December,3,114.705,307,11744,0.094
monthly_precip,2070,January,0,103.19,313,11744,0.094
monthly_precip,2070,February,0,101.442,324,11744,0.094
monthly_precip,2070,March,8,128.502,454,11744,0.094
monthly_precip,2070,April,17,146.822,754,11744,0.094
monthly_precip,2070,May,1,75.614,491,11744,0.094
monthly_precip,2070,June,0,30.444,199,11744,0.094
monthly_precip,2070,July,0,31.598,243,11744,0.094
monthly_precip,2070,August,0,37.163,302,11744,0.094
monthly_precip,2070,September,0,36.595,211,11744,0.094
monthly_precip,2070,October,1,57.972,490,11744,0.094
monthly_precip,2070,November,22,101.959,665,11744,0.094
monthly_precip,2070,December,3,115.932,299,11744,0.094
monthly_precip_lag_1,2030,January,3,116.908,320,11744,0.094
monthly_precip_lag_1,2030,February,0,102.075,328,11744,0.094
monthly_precip_lag_1,2030,March,0,93.608,319,11744,0.094
monthly_precip_lag_1,2030,April,8,128.869,449,11744,0.094
monthly_precip_lag_1,2030,May,18,143.757,780,11744,0.094
monthly_precip_lag_1,2030,June,1,78.223,518,11744,0.094
monthly_precip_lag_1,2030,July,0,32.399,210,11744,0.094
monthly_precip_lag_1,2030,August,0,32.278,249,11744,0.094
monthly_precip_lag_1,2030,September,0,37.324,298,11744,0.094
monthly_precip_lag_1,2030,October,0,37.506,219,11744,0.094
monthly_precip_lag_1,2030,November,1,58.762,487,11744,0.094
monthly_precip_lag_1,2030,December,23,101.705,640,11744,0.094
monthly_precip_lag_1,2050,January,3,114.705,307,11744,0.094
monthly_precip_lag_1,2050,February,0,103.747,327,11744,0.094
monthly_precip_lag_1,2050,March,0,95.688,298,11744,0.094
monthly_precip_lag_1,2050,April,8,134.939,477,11744,0.094
monthly_precip_lag_1,2050,May,18,145.514,787,11744,0.094
monthly_precip_lag_1,2050,June,1,73.573,477,11744,0.094
monthly_precip_lag_1,2050,July,0,31.338,205,11744,0.094
monthly_precip_lag_1,2050,August,0,32.595,261,11744,0.094
monthly_precip_lag_1,2050,September,0,37.548,303,11744,0.094
monthly_precip_lag_1,2050,October,0,37.432,213,11744,0.094
