variable,year,month,min,mean,max,n_missing,prop_missing
cum_precip_3_months_prior,2030,January,49,289.268,1343,11744,0.094
cum_precip_3_months_prior,2030,February,36,330.823,903,11744,0.094
cum_precip_3_months_prior,2030,March,11,322.894,957,11744,0.094
cum_precip_3_months_prior,2030,April,8,337.408,1082,11744,0.094
cum_precip_3_months_prior,2030,May,65,379.421,1435,11744,0.094
cum_precip_3_months_prior,2030,June,73,361.49,1662,11744,0.094
cum_precip_3_months_prior,2030,July,28,254.46,1340,11744,0.094
cum_precip_3_months_prior,2030,August,1,145.269,802,11744,0.094
cum_precip_3_months_prior,2030,September,0,101.186,685,11744,0.094
cum_precip_3_months_prior,2030,October,0,107.369,672,11744,0.094
cum_precip_3_months_prior,2030,November,1,132.991,697,11744,0.094
cum_precip_3_months_prior,2030,December,31,202.934,1181,11744,0.094
cum_precip_3_months_prior,2050,January,46,277.089,1274,11744,0.094
cum_precip_3_months_prior,2050,February,37,328.922,905,11744,0.094
cum_precip_3_months_prior,2050,March,12,337.343,1009,11744,0.094
cum_precip_3_months_prior,2050,April,8,349.602,1170,11744,0.094
cum_precip_3_months_prior,2050,May,63,388.971,1476,11744,0.094
cum_precip_3_months_prior,2050,June,72,359.617,1703,11744,0.094
cum_precip_3_months_prior,2050,July,30,256.387,1357,11744,0.094
cum_precip_3_months_prior,2050,August,1,142.245,776,11744,0.094
cum_precip_3_months_prior,2050,September,0,101.36,685,11744,0.094
cum_precip_3_months_prior,2050,October,0,107.127,677,11744,0.094
cum_precip_3_months_prior,2050,November,1,130.067,707,11744,0.094
cum_precip_3_months_prior,2050,December,23,191.885,1102,11744,0.094
cum_precip_3_months_prior,2070,January,52,293.719,1323,11744,0.094
cum_precip_3_months_prior,2070,February,34,347.544,937,11744,0.094
cum_precip_3_months_prior,2070,March,11,338.338,1001,11744,0.094
cum_precip_3_months_prior,2070,April,8,343.591,1120,11744,0.094
cum_precip_3_months_prior,2070,May,65,374.86,1401,11744,0.094
cum_precip_3_months_prior,2070,June,73,359.272,1673,11744,0.094
cum_precip_3_months_prior,2070,July,30,253.975,1354,11744,0.094
cum_precip_3_months_prior,2070,August,1,144.792,776,11744,0.094
cum_precip_3_months_prior,2070,September,0,100.79,695,11744,0.094
cum_precip_3_months_prior,2070,October,0,106.968,680,11744,0.094
cum_precip_3_months_prior,2070,November,1,131.059,709,11744,0.094
cum_precip_3_months_prior,2070,December,27,199.853,1138,11744,0.094
monthly_precip,2030,January,0,98.465,328,11744,0.094
monthly_precip,2030,February,0,100.112,359,11744,0.094
monthly_precip,2030,March,8,138.831,458,11744,0.094
monthly_precip,2030,April,18,140.479,785,11744,0.094
monthly_precip,2030,May,1,82.18,555,11744,0.094
monthly_precip,2030,June,0,31.801,213,11744,0.094
monthly_precip,2030,July,0,31.288,227,11744,0.094
monthly_precip,2030,August,0,38.097,278,11744,0.094
monthly_precip,2030,September,0,37.984,223,11744,0.094
monthly_precip,2030,October,1,56.91,491,11744,0.094
monthly_precip,2030,November,24,108.04,657,11744,0.094
monthly_precip,2030,December,3,124.317,317,11744,0.094
monthly_precip,2050,January,0,106.827,347,11744,0.094
monthly_precip,2050,February,0,107.152,367,11744,0.094
monthly_precip,2050,March,8,135.624,488,11744,0.094
monthly_precip,2050,April,20,146.196,793,11744,0.094
monthly_precip,2050,May,1,77.798,482,11744,0.094
monthly_precip,2050,June,0,32.394,214,11744,0.094
monthly_precip,2050,July,0,32.053,245,11744,0.094
monthly_precip,2050,August,0,36.913,268,11744,0.094
monthly_precip,2050,September,0,38.16,226,11744,0.094
monthly_precip,2050,October,1,54.993,422,11744,0.094
monthly_precip,2050,November,21,98.731,649,11744,0.094
monthly_precip,2050,December,3,123.364,345,11744,0.094
monthly_precip,2070,January,0,109.227,366,11744,0.094
monthly_precip,2070,February,0,96.556,320,11744,0.094
monthly_precip,2070,March,8,137.809,451,11744,0.094
monthly_precip,2070,April,19,140.495,768,11744,0.094
monthly_precip,2070,May,1,80.968,562,11744,0.094
monthly_precip,2070,June,0,32.512,212,11744,0.094
monthly_precip,2070,July,0,31.311,229,11744,0.094
monthly_precip,2070,August,0,36.967,269,11744,0.094
monthly_precip,2070,September,0,38.69,228,11744,0.094
monthly_precip,2070,October,1,55.402,441,11744,0.094
monthly_precip,2070,November,22,105.761,666,11744,0.094
monthly_precip,2070,December,3,132.556,343,11744,0.094
monthly_precip_lag_1,2030,January,3,124.317,317,11744,0.094
monthly_precip_lag_1,2030,February,0,98.465,328,11744,0.094
monthly_precip_lag_1,2030,March,0,100.112,359,11744,0.094
monthly_precip_lag_1,2030,April,8,138.831,458,11744,0.094
monthly_precip_lag_1,2030,May,18,140.479,785,11744,0.094
monthly_precip_lag_1,2030,June,1,82.18,555,11744,0.094
monthly_precip_lag_1,2030,July,0,31.801,213,11744,0.094
monthly_precip_lag_1,2030,August,0,31.288,227,11744,0.094
monthly_precip_lag_1,2030,September,0,38.097,278,11744,0.094
monthly_precip_lag_1,2030,October,0,37.984,223,11744,0.094
monthly_precip_lag_1,2030,November,1,56.91,491,11744,0.094
monthly_precip_lag_1,2030,December,24,108.04,657,11744,0.094
monthly_precip_lag_1,2050,January,3,123.364,345,11744,0.094
monthly_precip_lag_1,2050,February,0,106.827,347,11744,0.094
monthly_precip_lag_1,2050,March,0,107.152,367,11744,0.094
monthly_precip_lag_1,2050,April,8,135.624,488,11744,0.094
monthly_precip_lag_1,2050,May,20,146.196,793,11744,0.094
monthly_precip_lag_1,2050,June,1,77.798,482,11744,0.094
monthly_precip_lag_1,2050,July,0,32.394,214,11744,0.094
monthly_precip_lag_1,2050,August,0,32.053,245,11744,0.094
monthly_precip_lag_1,2050,September,0,36.913,268,11744,0.094
monthly_precip_lag_1,2050,October,0,38.16,226,11744,0.094
monthly_precip_lag_1,2050,November,1,54.993,422,11744,0.094
monthly_precip_lag_1,2050,December,21,98.731,649,11744,0.094
monthly_precip_lag_1,2070,January,3,132.556,343,11744,0.094
monthly_precip_lag_1,2070,February,0,109.227,366,11744,0.094
monthly_precip_lag_1,2070,March,0,96.556,320,11744,0.094
monthly_precip_lag_1,2070,April,8,137.809,451,11744,0.094
monthly_precip_lag_1,2070,May,19,140.495,768,11744,0.094
monthly_precip_lag_1,2070,June,1,80.968,562,11744,0.094
monthly_precip_lag_1,2070,July,0,32.512,212,11744,0.094
monthly_precip_lag_1,2070,August,0,31.311,229,11744,0.094
monthly_precip_lag_1,2070,September,0,36.967,269,11744,0.094
monthly_precip_lag_1,2070,October,0,38.69,228,11744,0.094
monthly_precip_lag_1,2070,November,1,55.402,441,11744,0.094
monthly_precip_lag_1,2070,December,22,105.761,666,11744,0.094
monthly_precip_lag_2,2030,January,24,108.04,657,11744,0.094
monthly_precip_lag_2,2030,February,3,124.317,317,11744,0.094
monthly_precip_lag_2,2030,March,0,98.465,328,11744,0.094
monthly_precip_lag_2,2030,April,0,100.112,359,11744,0.094
monthly_precip_lag_2,2030,May,8,138.831,458,11744,0.094
monthly_precip_lag_2,2030,June,18,140.479,785,11744,0.094
monthly_precip_lag_2,2030,July,1,82.18,555,11744,0.094
monthly_precip_lag_2,2030,August,0,31.801,213,11744,0.094
monthly_precip_lag_2,2030,September,0,31.288,227,11744,0.094
monthly_precip_lag_2,2030,October,0,38.097,278,11744,0.094
monthly_precip_lag_2,2030,November,0,37.984,223,11744,0.094
monthly_precip_lag_2,2030,December,1,56.91,491,11744,0.094
monthly_precip_lag_2,2050,January,21,98.731,649,11744,0.094
monthly_precip_lag_2,2050,February,3,123.364,345,11744,0.094
monthly_precip_lag_2,2050,March,0,106.827,347,11744,0.094
monthly_precip_lag_2,2050,April,0,107.152,367,11744,0.094
monthly_precip_lag_2,2050,May,8,135.624,488,11744,0.094
monthly_precip_lag_2,2050,June,20,146.196,793,11744,0.094
monthly_precip_lag_2,2050,July,1,77.798,482,11744,0.094
monthly_precip_lag_2,2050,August,0,32.394,214,11744,0.094
monthly_precip_lag_2,2050,September,0,32.053,245,11744,0.094
monthly_precip_lag_2,2050,October,0,36.913,268,11744,0.094
monthly_precip_lag_2,2050,November,0,38.16,226,11744,0.094
monthly_precip_lag_2,2050,December,1,54.993,422,11744,0.094
monthly_precip_lag_2,2070,January,22,105.761,666,11744,0.094
monthly_precip_lag_2,2070,February,3,132.556,343,11744,0.094
monthly_precip_lag_2,2070,March,0,109.227,366,11744,0.094
monthly_precip_lag_2,2070,April,0,96.556,320,11744,0.094
monthly_precip_lag_2,2070,May,8,137.809,451,11744,0.094
monthly_precip_lag_2,2070,June,19,140.495,768,11744,0.094
monthly_precip_lag_2,2070,July,1,80.968,562,11744,0.094
monthly_precip_lag_2,2070,August,0,32.512,212,11744,0.094
monthly_precip_lag_2,2070,September,0,31.311,229,11744,0.094
monthly_precip_lag_2,2070,October,0,36.967,269,11744,0.094
monthly_precip_lag_2,2070,November,0,38.69,228,11744,0.094
monthly_precip_lag_2,2070,December,1,55.402,441,11744,0.094
