variable,year,month,min,mean,max,n_missing,prop_missing
cum_precip_3_months_prior,2030,January,51,266.406,1207,11744,0.094
cum_precip_3_months_prior,2030,February,40,312.094,849,11744,0.094
cum_precip_3_months_prior,2030,March,11,308.641,918,11744,0.094
cum_precip_3_months_prior,2030,April,9,319.485,985,11744,0.094
cum_precip_3_months_prior,2030,May,70,368.825,1365,11744,0.094
cum_precip_3_months_prior,2030,June,81,349.891,1613,11744,0.094
cum_precip_3_months_prior,2030,July,29,250.852,1325,11744,0.094
cum_precip_3_months_prior,2030,August,1,134.058,663,11744,0.094
cum_precip_3_months_prior,2030,September,0,94.603,653,11744,0.094
cum_precip_3_months_prior,2030,October,0,100.542,625,11744,0.094
cum_precip_3_months_prior,2030,November,1,122.308,634,11744,0.094
cum_precip_3_months_prior,2030,December,24,184.152,1038,11744,0.094
cum_precip_3_months_prior,2050,January,52,274.594,1212,11744,0.094
cum_precip_3_months_prior,2050,February,42,323.761,867,11744,0.094
cum_precip_3_months_prior,2050,March,12,319.77,920,11744,0.094
cum_precip_3_months_prior,2050,April,9,331.03,1007,11744,0.094
cum_precip_3_months_prior,2050,May,77,384.075,1359,11744,0.094
cum_precip_3_months_prior,2050,June,88,361.875,1606,11744,0.094
cum_precip_3_months_prior,2050,July,29,255.867,1312,11744,0.094
cum_precip_3_months_prior,2050,August,1,131.074,646,11744,0.094
cum_precip_3_months_prior,2050,September,0,91.516,619,11744,0.094
cum_precip_3_months_prior,2050,October,0,98.951,622,11744,0.094
cum_precip_3_months_prior,2050,November,1,121.532,636,11744,0.094
cum_precip_3_months_prior,2050,December,24,187.281,1031,11744,0.094
cum_precip_3_months_prior,2070,January,55,285.106,1225,11744,0.094
cum_precip_3_months_prior,2070,February,47,337.422,890,11744,0.094
cum_precip_3_months_prior,2070,March,14,333.074,942,11744,0.094
cum_precip_3_months_prior,2070,April,10,339.944,1025,11744,0.094
cum_precip_3_months_prior,2070,May,79,391.581,1363,11744,0.094
cum_precip_3_months_prior,2070,June,92,365.72,1581,11744,0.094
cum_precip_3_months_prior,2070,July,29,257.815,1291,11744,0.094
cum_precip_3_months_prior,2070,August,1,130.879,656,11744,0.094
cum_precip_3_months_prior,2070,September,0,93.673,638,11744,0.094
cum_precip_3_months_prior,2070,October,0,100.98,649,11744,0.094
cum_precip_3_months_prior,2070,November,1,123.964,651,11744,0.094
cum_precip_3_months_prior,2070,December,25,191.379,1031,11744,0.094
monthly_precip,2030,January,0,98.466,315,11744,0.094
monthly_precip,2030,February,0,92.89,293,11744,0.094
monthly_precip,2030,March,9,128.13,417,11744,0.094
monthly_precip,2030,April,19,147.806,789,11744,0.094
monthly_precip,2030,May,1,73.955,435,11744,0.094
monthly_precip,2030,June,0,29.091,188,11744,0.094
monthly_precip,2030,July,0,31.012,228,11744,0.094
monthly_precip,2030,August,0,34.5,253,11744,0.094
monthly_precip,2030,September,0,35.03,199,11744,0.094
monthly_precip,2030,October,1,52.778,416,11744,0.094
monthly_precip,2030,November,22,96.344,591,11744,0.094
monthly_precip,2030,December,3,117.285,325,11744,0.094
