variable,year,month,min,mean,max,n_missing,prop_missing
cum_precip_3_months_prior,2030,January,43,249.014,1072,11744,0.094
cum_precip_3_months_prior,2030,February,35,290.18,773,11744,0.094
cum_precip_3_months_prior,2030,March,11,289.551,904,11744,0.094
cum_precip_3_months_prior,2030,April,9,308.978,933,11744,0.094
cum_precip_3_months_prior,2030,May,61,350.52,1351,11744,0.094
cum_precip_3_months_prior,2030,June,70,334.087,1603,11744,0.094
cum_precip_3_months_prior,2030,July,29,240.728,1324,11744,0.094
cum_precip_3_months_prior,2030,August,1,135.91,649,11744,0.094
cum_precip_3_months_prior,2030,September,0,99.125,706,11744,0.094
cum_precip_3_months_prior,2030,October,0,106.144,682,11744,0.094
cum_precip_3_months_prior,2030,November,1,128.252,682,11744,0.094
cum_precip_3_months_prior,2030,December,23,182.099,933,11744,0.094
cum_precip_3_months_prior,2050,January,45,252.833,1080,11744,0.094
cum_precip_3_months_prior,2050,February,38,297.54,802,11744,0.094
cum_precip_3_months_prior,2050,March,12,295.868,930,11744,0.094
cum_precip_3_months_prior,2050,April,9,316.472,931,11744,0.094
cum_precip_3_months_prior,2050,May,63,353.456,1299,11744,0.094
cum_precip_3_months_prior,2050,June,71,333.532,1530,11744,0.094
cum_precip_3_months_prior,2050,July,27,236.682,1240,11744,0.094
cum_precip_3_months_prior,2050,August,1,134.321,632,11744,0.094
cum_precip_3_months_prior,2050,September,0,98.813,714,11744,0.094
cum_precip_3_months_prior,2050,October,0,106.478,694,11744,0.094
cum_precip_3_months_prior,2050,November,1,127.148,686,11744,0.094
cum_precip_3_months_prior,2050,December,24,184.252,938,11744,0.094
cum_precip_3_months_prior,2070,January,46,258.057,1079,11744,0.094
cum_precip_3_months_prior,2070,February,37,304.819,827,11744,0.094
cum_precip_3_months_prior,2070,March,11,305.01,950,11744,0.094
cum_precip_3_months_prior,2070,April,9,327.121,972,11744,0.094
cum_precip_3_months_prior,2070,May,64,362.465,1371,11744,0.094
cum_precip_3_months_prior,2070,June,71,335.178,1600,11744,0.094
cum_precip_3_months_prior,2070,July,28,234.119,1282,11744,0.094
cum_precip_3_months_prior,2070,August,1,129.029,611,11744,0.094
cum_precip_3_months_prior,2070,September,0,97.957,703,11744,0.094
cum_precip_3_months_prior,2070,October,0,106.248,689,11744,0.094
cum_precip_3_months_prior,2070,November,1,129.232,694,11744,0.094
cum_precip_3_months_prior,2070,December,26,187.399,934,11744,0.094
monthly_precip,2030,January,0,95.274,313,11744,0.094
monthly_precip,2030,February,0,89.844,299,11744,0.094
monthly_precip,2030,March,9,123.86,409,11744,0.094
monthly_precip,2030,April,19,136.817,785,11744,0.094
monthly_precip,2030,May,1,73.41,441,11744,0.094
monthly_precip,2030,June,0,30.501,205,11744,0.094
monthly_precip,2030,July,0,31.999,244,11744,0.094
monthly_precip,2030,August,0,36.625,272,11744,0.094
monthly_precip,2030,September,0,37.519,229,11744,0.094
monthly_precip,2030,October,1,54.108,389,11744,0.094
monthly_precip,2030,November,21,90.473,513,11744,0.094
monthly_precip,2030,December,3,104.434,303,11744,0.094
monthly_precip,2050,January,0,97.353,319,11744,0.094
monthly_precip,2050,February,0,92.419,303,11744,0.094
monthly_precip,2050,March,9,126.7,417,11744,0.094
monthly_precip,2050,April,17,134.337,720,11744,0.094
monthly_precip,2050,May,1,72.495,436,11744,0.094
monthly_precip,2050,June,0,29.85,202,11744,0.094
monthly_precip,2050,July,0,31.976,247,11744,0.094
monthly_precip,2050,August,0,36.987,282,11744,0.094
monthly_precip,2050,September,0,37.514,226,11744,0.094
monthly_precip,2050,October,1,52.647,383,11744,0.094
monthly_precip,2050,November,22,94.091,523,11744,0.094
monthly_precip,2050,December,3,106.095,321,11744,0.094
monthly_precip,2070,January,0,100.342,329,11744,0.094
monthly_precip,2070,February,0,96.059,310,11744,0.094
monthly_precip,2070,March,9,130.719,446,11744,0.094
monthly_precip,2070,April,18,135.686,760,11744,0.094
monthly_precip,2070,May,1,68.773,412,11744,0.094
monthly_precip,2070,June,0,29.66,202,11744,0.094
monthly_precip,2070,July,0,30.596,237,11744,0.094
monthly_precip,2070,August,0,37.701,280,11744,0.094
monthly_precip,2070,September,0,37.951,232,11744,0.094
monthly_precip,2070,October,1,53.58,368,11744,0.094
monthly_precip,2070,November,23,95.868,534,11744,0.094
monthly_precip,2070,December,3,108.609,325,11744,0.094
monthly_precip_lag_1,2030,January,3,104.434,303,11744,0.094
monthly_precip_lag_1,2030,February,0,95.274,313,11744,0.094
monthly_precip_lag_1,2030,March,0,89.844,299,11744,0.094
monthly_precip_lag_1,2030,April,9,123.86,409,11744,0.094
monthly_precip_lag_1,2030,May,19,136.817,785,11744,0.094
monthly_precip_lag_1,2030,June,1,73.41,441,11744,0.094
monthly_precip_lag_1,2030,July,0,30.501,205,11744,0.094
monthly_precip_lag_1,2030,August,0,31.999,244,11744,0.094
monthly_precip_lag_1,2030,September,0,36.625,272,11744,0.094
monthly_precip_lag_1,2030,October,0,37.519,229,11744,0.094
monthly_precip_lag_1,2030,November,1,54.108,389,11744,0.094
monthly_precip_lag_1,2030,December,21,90.473,513,11744,0.094
monthly_precip_lag_1,2050,January,3,106.095,321,11744,0.094
monthly_precip_lag_1,2050,February,0,97.353,319,11744,0.094
monthly_precip_lag_1,2050,March,0,92.419,303,11744,0.094
monthly_precip_lag_1,2050,April,9,126.7,417,11744,0.094
monthly_precip_lag_1,2050,May,17,134.337,720,11744,0.094
monthly_precip_lag_1,2050,June,1,72.495,436,11744,0.094
monthly_precip_lag_1,2050,July,0,29.85,202,11744,0.094
monthly_precip_lag_1,2050,August,0,31.976,247,11744,0.094
monthly_precip_lag_1,2050,September,0,36.987,282,11744,0.094
monthly_precip_lag_1,2050,October,0,37.514,226,11744,0.094
monthly_precip_lag_1,2050,November,1,52.647,383,11744,0.094
monthly_precip_lag_1,2050,December,22,94.091,523,11744,0.094
monthly_precip_lag_1,2070,January,3,108.609,325,11744,0.094
monthly_precip_lag_1,2070,February,0,100.342,329,11744,0.094
monthly_precip_lag_1,2070,March,0,96.059,310,11744,0.094
monthly_precip_lag_1,2070,April,9,130.719,446,11744,0.094
monthly_precip_lag_1,2070,May,18,135.686,760,11744,0.094
monthly_precip_lag_1,2070,June,1,68.773,412,11744,0.094
monthly_precip_lag_1,2070,July,0,29.66,202,11744,0.094
monthly_precip_lag_1,2070,August,0,30.596,237,11744,0.094
monthly_precip_lag_1,2070,September,0,37.701,280,11744,0.094
monthly_precip_lag_1,2070,October,0,37.951,232,11744,0.094
monthly_precip_lag_1,2070,November,1,53.58,368,11744,0.094
monthly_precip_lag_1,2070,December,23,95.868,534,11744,0.094
monthly_precip_lag_2,2030,January,21,90.473,513,11744,0.094
monthly_precip_lag_2,2030,February,3,104.434,303,11744,0.094
monthly_precip_lag_2,2030,March,0,95.274,313,11744,0.094
monthly_precip_lag_2,2030,April,0,89.844,299,11744,0.094
monthly_precip_lag_2,2030,May,9,123.86,409,11744,0.094
monthly_precip_lag_2,2030,June,19,136.817,785,11744,0.094
monthly_precip_lag_2,2030,July,1,73.41,441,11744,0.094
monthly_precip_lag_2,2030,August,0,30.501,205,11744,0.094
monthly_precip_lag_2,2030,September,0,31.999,244,11744,0.094
monthly_precip_lag_2,2030,October,0,36.625,272,11744,0.094
monthly_precip_lag_2,2030,November,0,37.519,229,11744,0.094
monthly_precip_lag_2,2030,December,1,54.108,389,11744,0.094
monthly_precip_lag_2,2050,January,22,94.091,523,11744,0.094
monthly_precip_lag_2,2050,February,3,106.095,321,11744,0.094
monthly_precip_lag_2,2050,March,0,97.353,319,11744,0.094
monthly_precip_lag_2,2050,April,0,92.419,303,11744,0.094
monthly_precip_lag_2,2050,May,9,126.7,417,11744,0.094
monthly_precip_lag_2,2050,June,17,134.337,720,11744,0.094
monthly_precip_lag_2,2050,July,1,72.495,436,11744,0.094
monthly_precip_lag_2,2050,August,0,29.85,202,11744,0.094
monthly_precip_lag_2,2050,September,0,31.976,247,11744,0.094
monthly_precip_lag_2,2050,October,0,36.987,282,11744,0.094
monthly_precip_lag_2,2050,November,0,37.514,226,11744,0.094
monthly_precip_lag_2,2050,December,1,52.647,383,11744,0.094
monthly_precip_lag_2,2070,January,23,95.868,534,11744,0.094
monthly_precip_lag_2,2070,February,3,108.609,325,11744,0.094
monthly_precip_lag_2,2070,March,0,100.342,329,11744,0.094
monthly_precip_lag_2,2070,April,0,96.059,310,11744,0.094
monthly_precip_lag_2,2070,May,9,130.719,446,11744,0.094
monthly_precip_lag_2,2070,June,18,135.686,760,11744,0.094
monthly_precip_lag_2,2070,July,1,68.773,412,11744,0.094
monthly_precip_lag_2,2070,August,0,29.66,202,11744,0.094
monthly_precip_lag_2,2070,September,0,30.596,237,11744,0.094
monthly_precip_lag_2,2070,October,0,37.701,280,11744,0.094
monthly_precip_lag_2,2070,November,0,37.951,232,11744,0.094
monthly_precip_lag_2,2070,December,1,53.58,368,11744,0.094
monthly_precip_lag_3,2030,January,1,54.108,389,11744,0.094
monthly_precip_lag_3,2030,February,21,90.473,513,11744,0.094
monthly_precip_lag_3,2030,March,3,104.434,303,11744,0.094
monthly_precip_lag_3,2030,April,0,95.274,313,11744,0.094
monthly_precip_lag_3,2030,May,0,89.844,299,11744,0.094
monthly_precip_lag_3,2030,June,9,123.86,409,11744,0.094
monthly_precip_lag_3,2030,July,19,136.817,785,11744,0.094
monthly_precip_lag_3,2030,August,1,73.41,441,11744,0.094
monthly_precip_lag_3,2030,September,0,30.501,205,11744,0.094
monthly_precip_lag_3,2030,October,0,31.999,244,11744,0.094
monthly_precip_lag_3,2030,November,0,36.625,272,11744,0.094
monthly_precip_lag_3,2030,December,0,37.519,229,11744,0.094
monthly_precip_lag_3,2050,January,1,52.647,383,11744,0.094
monthly_precip_lag_3,2050,February,22,94.091,523,11744,0.094
monthly_precip_lag_3,2050,March,3,106.095,321,11744,0.094
monthly_precip_lag_3,2050,April,0,97.353,319,11744,0.094
monthly_precip_lag_3,2050,May,0,92.419,303,11744,0.094
monthly_precip_lag_3,2050,June,9,126.7,417,11744,0.094
monthly_precip_lag_3,2050,July,17,134.337,720,11744,0.094
monthly_precip_lag_3,2050,August,1,72.495,436,11744,0.094
monthly_precip_lag_3,2050,September,0,29.85,202,11744,0.094
monthly_precip_lag_3,2050,October,0,31.976,247,11744,0.094
monthly_precip_lag_3,2050,November,0,36.987,282,11744,0.094
monthly_precip_lag_3,2050,December,0,37.514,226,11744,0.094
monthly_precip_lag_3,2070,January,1,53.58,368,11744,0.094
monthly_precip_lag_3,2070,February,23,95.868,534,11744,0.094
monthly_precip_lag_3,2070,March,3,108.609,325,11744,0.094
monthly_precip_lag_3,2070,April,0,100.342,329,11744,0.094
monthly_precip_lag_3,2070,May,0,96.059,310,11744,0.094
monthly_precip_lag_3,2070,June,9,130.719,446,11744,0.094
monthly_precip_lag_3,2070,July,18,135.686,760,11744,0.094
monthly_precip_lag_3,2070,August,1,68.773,412,11744,0.094
monthly_precip_lag_3,2070,September,0,29.66,202,11744,0.094
monthly_precip_lag_3,2070,October,0,30.596,237,11744,0.094
monthly_precip_lag_3,2070,November,0,37.701,280,11744,0.094
monthly_precip_lag_3,2070,December,0,37.951,232,11744,0.094
monthly_tmax,2030,January,6.4,30.511,39.3,11744,0.094
monthly_tmax,2030,February,7.7,31.034,39.6,11744,0.094
monthly_tmax,2030,March,6.9,30.745,39.3,11744,0.094
monthly_tmax,2030,April,5.5,29.83,38.5,11744,0.094
monthly_tmax,2030,May,4.5,29.118,38.3,11744,0.094
monthly_tmax,2030,June,4.7,28.42,38,11744,0.094
monthly_tmax,2030,July,4.3,27.848,36.5,11744,0.094
monthly_tmax,2030,August,5,28.713,36.8,11744,0.094
monthly_tmax,2030,September,6.3,30.036,38.5,11744,0.094
monthly_tmax,2030,October,6.9,30.859,38.5,11744,0.094
monthly_tmax,2030,November,5.1,30.48,38,11744,0.094
monthly_tmax,2030,December,5,30.184,38.4,11744,0.094
monthly_tmax,2050,January,6.5,30.652,38.9,11744,0.094
monthly_tmax,2050,February,7.8,31.182,39.6,11744,0.094
monthly_tmax,2050,March,6.8,30.952,39.8,11744,0.094
monthly_tmax,2050,April,5.7,30.239,38.6,11744,0.094
monthly_tmax,2050,May,4.9,29.676,39,11744,0.094
monthly_tmax,2050,June,5.4,29.083,38.8,11744,0.094
monthly_tmax,2050,July,5,28.558,37.3,11744,0.094
monthly_tmax,2050,August,5.9,29.321,37.1,11744,0.094
monthly_tmax,2050,September,7,30.718,38.9,11744,0.094
monthly_tmax,2050,October,8,31.765,39.4,11744,0.094
monthly_tmax,2050,November,5.8,30.944,38.3,11744,0.094
monthly_tmax,2050,December,5.4,30.56,38.8,11744,0.094
monthly_tmax,2070,January,6.5,30.87,39.3,11744,0.094
monthly_tmax,2070,February,7.5,31.349,39.7,11744,0.094
monthly_tmax,2070,March,6.8,31.209,40.1,11744,0.094
monthly_tmax,2070,April,5.8,30.501,38.8,11744,0.094
monthly_tmax,2070,May,5.3,30.103,39.7,11744,0.094
monthly_tmax,2070,June,5.5,29.334,39.5,11744,0.094
monthly_tmax,2070,July,5.2,28.847,37.7,11744,0.094
monthly_tmax,2070,August,5.8,29.608,37.5,11744,0.094
monthly_tmax,2070,September,7.5,31.171,39.1,11744,0.094
monthly_tmax,2070,October,8.2,32.099,39.5,11744,0.094
monthly_tmax,2070,November,6,31.277,38.5,11744,0.094
monthly_tmax,2070,December,5.5,30.787,38.7,11744,0.094
monthly_tmax_lag_1,2030,January,5,30.184,38.4,11744,0.094
monthly_tmax_lag_1,2030,February,6.4,30.511,39.3,11744,0.094
monthly_tmax_lag_1,2030,March,7.7,31.034,39.6,11744,0.094
monthly_tmax_lag_1,2030,April,6.9,30.745,39.3,11744,0.094
monthly_tmax_lag_1,2030,May,5.5,29.83,38.5,11744,0.094
monthly_tmax_lag_1,2030,June,4.5,29.118,38.3,11744,0.094
monthly_tmax_lag_1,2030,July,4.7,28.42,38,11744,0.094
monthly_tmax_lag_1,2030,August,4.3,27.848,36.5,11744,0.094
monthly_tmax_lag_1,2030,September,5,28.713,36.8,11744,0.094
monthly_tmax_lag_1,2030,October,6.3,30.036,38.5,11744,0.094
monthly_tmax_lag_1,2030,November,6.9,30.859,38.5,11744,0.094
monthly_tmax_lag_1,2030,December,5.1,30.48,38,11744,0.094
monthly_tmax_lag_1,2050,January,5.4,30.56,38.8,11744,0.094
monthly_tmax_lag_1,2050,February,6.5,30.652,38.9,11744,0.094
monthly_tmax_lag_1,2050,March,7.8,31.182,39.6,11744,0.094
monthly_tmax_lag_1,2050,April,6.8,30.952,39.8,11744,0.094
monthly_tmax_lag_1,2050,May,5.7,30.239,38.6,11744,0.094
monthly_tmax_lag_1,2050,June,4.9,29.676,39,11744,0.094
monthly_tmax_lag_1,2050,July,5.4,29.083,38.8,11744,0.094
monthly_tmax_lag_1,2050,August,5,28.558,37.3,11744,0.094
monthly_tmax_lag_1,2050,September,5.9,29.321,37.1,11744,0.094
monthly_tmax_lag_1,2050,October,7,30.718,38.9,11744,0.094
monthly_tmax_lag_1,2050,November,8,31.765,39.4,11744,0.094
monthly_tmax_lag_1,2050,December,5.8,30.944,38.3,11744,0.094
monthly_tmax_lag_1,2070,January,5.5,30.787,38.7,11744,0.094
monthly_tmax_lag_1,2070,February,6.5,30.87,39.3,11744,0.094
monthly_tmax_lag_1,2070,March,7.5,31.349,39.7,11744,0.094
monthly_tmax_lag_1,2070,April,6.8,31.209,40.1,11744,0.094
monthly_tmax_lag_1,2070,May,5.8,30.501,38.8,11744,0.094
monthly_tmax_lag_1,2070,June,5.3,30.103,39.7,11744,0.094
monthly_tmax_lag_1,2070,July,5.5,29.334,39.5,11744,0.094
monthly_tmax_lag_1,2070,August,5.2,28.847,37.7,11744,0.094
monthly_tmax_lag_1,2070,September,5.8,29.608,37.5,11744,0.094
monthly_tmax_lag_1,2070,October,7.5,31.171,39.1,11744,0.094
monthly_tmax_lag_1,2070,November,8.2,32.099,39.5,11744,0.094
monthly_tmax_lag_1,2070,December,6,31.277,38.5,11744,0.094
monthly_tmax_lag_2,2030,January,5.1,30.48,38,11744,0.094
monthly_tmax_lag_2,2030,February,5,30.184,38.4,11744,0.094
monthly_tmax_lag_2,2030,March,6.4,30.511,39.3,11744,0.094
monthly_tmax_lag_2,2030,April,7.7,31.034,39.6,11744,0.094
monthly_tmax_lag_2,2030,May,6.9,30.745,39.3,11744,0.094
monthly_tmax_lag_2,2030,June,5.5,29.83,38.5,11744,0.094
monthly_tmax_lag_2,2030,July,4.5,29.118,38.3,11744,0.094
monthly_tmax_lag_2,2030,August,4.7,28.42,38,11744,0.094
monthly_tmax_lag_2,2030,September,4.3,27.848,36.5,11744,0.094
monthly_tmax_lag_2,2030,October,5,28.713,36.8,11744,0.094
monthly_tmax_lag_2,2030,November,6.3,30.036,38.5,11744,0.094
monthly_tmax_lag_2,2030,December,6.9,30.859,38.5,11744,0.094
