variable,year,month,min,mean,max,n_missing,prop_missing
cum_precip_3_months_prior,2030,January,46,258.134,1177,11744,0.094
cum_precip_3_months_prior,2030,February,40,302.097,808,11744,0.094
cum_precip_3_months_prior,2030,March,12,300.139,878,11744,0.094
cum_precip_3_months_prior,2030,April,8,312.441,956,11744,0.094
cum_precip_3_months_prior,2030,May,61,349.277,1336,11744,0.094
cum_precip_3_months_prior,2030,June,70,331.655,1584,11744,0.094
cum_precip_3_months_prior,2030,July,28,239.78,1301,11744,0.094
cum_precip_3_months_prior,2030,August,1,137.451,677,11744,0.094
cum_precip_3_months_prior,2030,September,0,95.482,676,11744,0.094
cum_precip_3_months_prior,2030,October,0,97.597,643,11744,0.094
cum_precip_3_months_prior,2030,November,1,119.127,622,11744,0.094
cum_precip_3_months_prior,2030,December,23,180.676,1035,11744,0.094
cum_precip_3_months_prior,2050,January,43,249.871,1105,11744,0.094
cum_precip_3_months_prior,2050,February,40,296.927,784,11744,0.094
cum_precip_3_months_prior,2050,March,12,294.716,930,11744,0.094
cum_precip_3_months_prior,2050,April,7,307.099,1021,11744,0.094
cum_precip_3_months_prior,2050,May,58,342.281,1294,11744,0.094
cum_precip_3_months_prior,2050,June,68,328.786,1536,11744,0.094
cum_precip_3_months_prior,2050,July,27,238.703,1262,11744,0.094
cum_precip_3_months_prior,2050,August,1,138.901,688,11744,0.094
cum_precip_3_months_prior,2050,September,0,96.696,688,11744,0.094
cum_precip_3_months_prior,2050,October,0,99.558,690,11744,0.094
cum_precip_3_months_prior,2050,November,1,117.122,661,11744,0.094
cum_precip_3_months_prior,2050,December,22,175.033,965,11744,0.094
cum_precip_3_months_prior,2070,January,45,249.714,1159,11744,0.094
cum_precip_3_months_prior,2070,February,44,296.045,821,11744,0.094
cum_precip_3_months_prior,2070,March,13,296.267,1002,11744,0.094
cum_precip_3_months_prior,2070,April,8,312.516,1116,11744,0.094
cum_precip_3_months_prior,2070,May,61,347.829,1241,11744,0.094
cum_precip_3_months_prior,2070,June,70,331.83,1484,11744,0.094
cum_precip_3_months_prior,2070,July,26,240.47,1214,11744,0.094
cum_precip_3_months_prior,2070,August,1,139.686,712,11744,0.094
cum_precip_3_months_prior,2070,September,0,97.509,688,11744,0.094
cum_precip_3_months_prior,2070,October,0,100.205,670,11744,0.094
cum_precip_3_months_prior,2070,November,1,119.345,628,11744,0.094
cum_precip_3_months_prior,2070,December,20,177.299,1008,11744,0.094
monthly_precip,2030,January,0,96.68,312,11744,0.094
monthly_precip,2030,February,0,92.811,313,11744,0.094
monthly_precip,2030,March,8,122.95,417,11744,0.094
monthly_precip,2030,April,18,133.516,751,11744,0.094
monthly_precip,2030,May,1,75.189,454,11744,0.094
monthly_precip,2030,June,0,31.075,225,11744,0.094
monthly_precip,2030,July,0,31.187,239,11744,0.094
monthly_precip,2030,August,0,33.22,239,11744,0.094
monthly_precip,2030,September,0,33.19,200,11744,0.094
monthly_precip,2030,October,1,52.716,421,11744,0.094
monthly_precip,2030,November,21,94.77,583,11744,0.094
monthly_precip,2030,December,3,110.647,303,11744,0.094
monthly_precip,2050,January,0,96.193,355,11744,0.094
monthly_precip,2050,February,0,90.317,343,11744,0.094
monthly_precip,2050,March,7,120.589,431,11744,0.094
monthly_precip,2050,April,17,131.375,732,11744,0.094
monthly_precip,2050,May,1,76.822,458,11744,0.094
monthly_precip,2050,June,0,30.506,212,11744,0.094
monthly_precip,2050,July,0,31.573,244,11744,0.094
monthly_precip,2050,August,0,34.617,246,11744,0.094
monthly_precip,2050,September,0,33.368,213,11744,0.094
monthly_precip,2050,October,1,49.137,373,11744,0.094
monthly_precip,2050,November,20,92.528,561,11744,0.094
monthly_precip,2050,December,3,108.206,291,11744,0.094
monthly_precip,2070,January,0,96.779,382,11744,0.094
monthly_precip,2070,February,0,93.271,382,11744,0.094
monthly_precip,2070,March,8,122.466,462,11744,0.094
monthly_precip,2070,April,16,132.092,687,11744,0.094
monthly_precip,2070,May,1,77.272,440,11744,0.094
monthly_precip,2070,June,0,31.106,202,11744,0.094
monthly_precip,2070,July,0,31.308,239,11744,0.094
monthly_precip,2070,August,0,35.095,253,11744,0.094
monthly_precip,2070,September,0,33.802,202,11744,0.094
monthly_precip,2070,October,1,50.448,392,11744,0.094
monthly_precip,2070,November,18,93.049,586,11744,0.094
monthly_precip,2070,December,3,106.217,268,11744,0.094
monthly_precip_lag_1,2030,January,3,110.647,303,11744,0.094
monthly_precip_lag_1,2030,February,0,96.68,312,11744,0.094
monthly_precip_lag_1,2030,March,0,92.811,313,11744,0.094
monthly_precip_lag_1,2030,April,8,122.95,417,11744,0.094
monthly_precip_lag_1,2030,May,18,133.516,751,11744,0.094
monthly_precip_lag_1,2030,June,1,75.189,454,11744,0.094
monthly_precip_lag_1,2030,July,0,31.075,225,11744,0.094
monthly_precip_lag_1,2030,August,0,31.187,239,11744,0.094
monthly_precip_lag_1,2030,September,0,33.22,239,11744,0.094
monthly_precip_lag_1,2030,October,0,33.19,200,11744,0.094
monthly_precip_lag_1,2030,November,1,52.716,421,11744,0.094
monthly_precip_lag_1,2030,December,21,94.77,583,11744,0.094
monthly_precip_lag_1,2050,January,3,108.206,291,11744,0.094
