variable,year,month,min,mean,max,n_missing,prop_missing
cum_precip_3_months_prior,2030,January,44,249.296,1309,11744,0.094
cum_precip_3_months_prior,2030,February,43,293.18,921,11744,0.094
cum_precip_3_months_prior,2030,March,12,294.122,901,11744,0.094
cum_precip_3_months_prior,2030,April,8,323.897,1045,11744,0.094
cum_precip_3_months_prior,2030,May,64,366.999,1347,11744,0.094
cum_precip_3_months_prior,2030,June,72,342.284,1597,11744,0.094
cum_precip_3_months_prior,2030,July,27,241.448,1282,11744,0.094
cum_precip_3_months_prior,2030,August,1,132.792,688,11744,0.094
cum_precip_3_months_prior,2030,September,0,97.235,702,11744,0.094
cum_precip_3_months_prior,2030,October,0,101.797,671,11744,0.094
cum_precip_3_months_prior,2030,November,1,123.467,637,11744,0.094
cum_precip_3_months_prior,2030,December,21,182.797,1152,11744,0.094
cum_precip_3_months_prior,2050,January,46,252.784,1347,11744,0.094
cum_precip_3_months_prior,2050,February,45,295.616,958,11744,0.094
cum_precip_3_months_prior,2050,March,13,298.781,900,11744,0.094
cum_precip_3_months_prior,2050,April,8,325.009,1025,11744,0.094
cum_precip_3_months_prior,2050,May,67,370.158,1368,11744,0.094
cum_precip_3_months_prior,2050,June,78,343.865,1606,11744,0.094
cum_precip_3_months_prior,2050,July,28,242.393,1287,11744,0.094
cum_precip_3_months_prior,2050,August,1,129.258,664,11744,0.094
cum_precip_3_months_prior,2050,September,0,93.391,686,11744,0.094
cum_precip_3_months_prior,2050,October,0,100.008,687,11744,0.094
cum_precip_3_months_prior,2050,November,1,125.161,637,11744,0.094
cum_precip_3_months_prior,2050,December,20,184.156,1153,11744,0.094
cum_precip_3_months_prior,2070,January,48,252.509,1344,11744,0.094
cum_precip_3_months_prior,2070,February,47,294.196,945,11744,0.094
cum_precip_3_months_prior,2070,March,13,297.261,911,11744,0.094
cum_precip_3_months_prior,2070,April,8,328.433,1037,11744,0.094
cum_precip_3_months_prior,2070,May,59,365.335,1436,11744,0.094
cum_precip_3_months_prior,2070,June,67,340.288,1672,11744,0.094
cum_precip_3_months_prior,2070,July,29,235.222,1354,11744,0.094
cum_precip_3_months_prior,2070,August,1,131.784,661,11744,0.094
cum_precip_3_months_prior,2070,September,0,95.113,704,11744,0.094
cum_precip_3_months_prior,2070,October,0,101.292,704,11744,0.094
cum_precip_3_months_prior,2070,November,1,126.141,612,11744,0.094
cum_precip_3_months_prior,2070,December,19,184.794,1156,11744,0.094
monthly_precip,2030,January,0,96.238,312,11744,0.094
monthly_precip,2030,February,0,97.174,308,11744,0.094
monthly_precip,2030,March,8,130.486,453,11744,0.094
monthly_precip,2030,April,17,139.339,734,11744,0.094
monthly_precip,2030,May,1,72.459,489,11744,0.094
monthly_precip,2030,June,0,29.65,189,11744,0.094
monthly_precip,2030,July,0,30.683,235,11744,0.094
monthly_precip,2030,August,0,36.902,283,11744,0.094
monthly_precip,2030,September,0,34.212,199,11744,0.094
monthly_precip,2030,October,1,52.353,439,11744,0.094
monthly_precip,2030,November,19,96.232,684,11744,0.094
monthly_precip,2030,December,3,100.71,295,11744,0.094
monthly_precip,2050,January,0,97.89,306,11744,0.094
monthly_precip,2050,February,0,97.944,318,11744,0.094
monthly_precip,2050,March,8,129.175,448,11744,0.094
monthly_precip,2050,April,18,143.04,750,11744,0.094
monthly_precip,2050,May,1,71.65,464,11744,0.094
monthly_precip,2050,June,0,27.703,184,11744,0.094
monthly_precip,2050,July,0,29.905,240,11744,0.094
monthly_precip,2050,August,0,35.783,283,11744,0.094
monthly_precip,2050,September,0,34.32,198,11744,0.094
monthly_precip,2050,October,1,55.058,445,11744,0.094
monthly_precip,2050,November,18,94.778,679,11744,0.094
monthly_precip,2050,December,4,102.947,291,11744,0.094
monthly_precip,2070,January,0,97.16,317,11744,0.094
monthly_precip,2070,February,0,97.814,322,11744,0.094
monthly_precip,2070,March,8,133.46,467,11744,0.094
monthly_precip,2070,April,19,134.061,816,11744,0.094
monthly_precip,2070,May,1,72.768,471,11744,0.094
monthly_precip,2070,June,0,28.393,181,11744,0.094
monthly_precip,2070,July,0,30.624,247,11744,0.094
monthly_precip,2070,August,0,36.096,289,11744,0.094
