variable,year,month,min,mean,max,n_missing,prop_missing
cum_precip_3_months_prior,2030,January,44,257.894,1195,11744,0.094
cum_precip_3_months_prior,2030,February,38,307.707,812,11744,0.094
cum_precip_3_months_prior,2030,March,11,313.407,884,11744,0.094
cum_precip_3_months_prior,2030,April,9,341.11,1074,11744,0.094
cum_precip_3_months_prior,2030,May,67,381.426,1322,11744,0.094
cum_precip_3_months_prior,2030,June,79,355.771,1517,11744,0.094
cum_precip_3_months_prior,2030,July,25,248.892,1201,11744,0.094
cum_precip_3_months_prior,2030,August,1,141.381,744,11744,0.094
cum_precip_3_months_prior,2030,September,0,111.3,878,11744,0.094
cum_precip_3_months_prior,2030,October,0,117.463,844,11744,0.094
cum_precip_3_months_prior,2030,November,1,134.846,713,11744,0.094
cum_precip_3_months_prior,2030,December,23,184.881,1039,11744,0.094
cum_precip_3_months_prior,2050,January,48,271.421,1318,11744,0.094
cum_precip_3_months_prior,2050,February,46,326.542,938,11744,0.094
cum_precip_3_months_prior,2050,March,15,335.862,920,11744,0.094
cum_precip_3_months_prior,2050,April,9,361.259,1142,11744,0.094
cum_precip_3_months_prior,2050,May,70,399.454,1317,11744,0.094
cum_precip_3_months_prior,2050,June,83,364.788,1471,11744,0.094
cum_precip_3_months_prior,2050,July,25,251.572,1128,11744,0.094
cum_precip_3_months_prior,2050,August,1,141.272,786,11744,0.094
cum_precip_3_months_prior,2050,September,0,114.682,919,11744,0.094
cum_precip_3_months_prior,2050,October,0,122.835,894,11744,0.094
cum_precip_3_months_prior,2050,November,1,139.818,784,11744,0.094
cum_precip_3_months_prior,2050,December,23,191.755,1112,11744,0.094
cum_precip_3_months_prior,2070,January,49,278.946,1387,11744,0.094
cum_precip_3_months_prior,2070,February,46,341.557,1020,11744,0.094
cum_precip_3_months_prior,2070,March,15,356.258,968,11744,0.094
cum_precip_3_months_prior,2070,April,10,390.736,1237,11744,0.094
cum_precip_3_months_prior,2070,May,78,430.035,1350,11744,0.094
cum_precip_3_months_prior,2070,June,93,387.185,1475,11744,0.094
cum_precip_3_months_prior,2070,July,23,260.707,1104,11744,0.094
cum_precip_3_months_prior,2070,August,1,143.891,851,11744,0.094
cum_precip_3_months_prior,2070,September,0,124.314,1005,11744,0.094
cum_precip_3_months_prior,2070,October,0,137.063,1068,11744,0.094
cum_precip_3_months_prior,2070,November,1,151.969,925,11744,0.094
cum_precip_3_months_prior,2070,December,23,199.695,1161,11744,0.094
monthly_precip,2030,January,0,104.047,312,11744,0.094
monthly_precip,2030,February,0,98.087,320,11744,0.094
monthly_precip,2030,March,9,138.977,452,11744,0.094
monthly_precip,2030,April,16,144.362,713,11744,0.094
monthly_precip,2030,May,1,72.432,446,11744,0.094
monthly_precip,2030,June,0,32.098,226,11744,0.094
monthly_precip,2030,July,0,36.85,317,11744,0.094
monthly_precip,2030,August,0,42.352,353,11744,0.094
monthly_precip,2030,September,0,38.261,223,11744,0.094
monthly_precip,2030,October,1,54.233,439,11744,0.094
monthly_precip,2030,November,20,92.386,570,11744,0.094
monthly_precip,2030,December,4,111.274,292,11744,0.094
