variable,month,min,mean,max,n_missing,prop_missing
cum_precip_3_months_prior,January,44,254.335,1145,11744,0.094
cum_precip_3_months_prior,February,35,292.958,762,11744,0.094
cum_precip_3_months_prior,March,10,290.501,888,11744,0.094
cum_precip_3_months_prior,April,8,307.004,966,11744,0.094
cum_precip_3_months_prior,May,62,352.018,1342,11744,0.094
cum_precip_3_months_prior,June,70,334.214,1593,11744,0.094
cum_precip_3_months_prior,July,28,241.126,1303,11744,0.094
cum_precip_3_months_prior,August,1,134.051,671,11744,0.094
cum_precip_3_months_prior,September,0,96.025,663,11744,0.094
cum_precip_3_months_prior,October,0,101.307,637,11744,0.094
cum_precip_3_months_prior,November,1,124.744,636,11744,0.094
cum_precip_3_months_prior,December,25,183.031,1006,11744,0.094
monthly_precip,January,0,92.896,300,11744,0.094
monthly_precip,February,0,90.87,293,11744,0.094
monthly_precip,March,8,123.238,422,11744,0.094
monthly_precip,April,18,137.91,760,11744,0.094
monthly_precip,May,1,73.066,459,11744,0.094
monthly_precip,June,0,30.15,193,11744,0.094
monthly_precip,July,0,30.836,228,11744,0.094
monthly_precip,August,0,35.04,253,11744,0.094
monthly_precip,September,0,35.431,204,11744,0.094
monthly_precip,October,1,54.273,432,11744,0.094
monthly_precip,November,23,93.327,543,11744,0.094
monthly_precip,December,3,106.735,300,11744,0.094
monthly_precip_lag_1,January,3,106.735,300,11744,0.094
monthly_precip_lag_1,February,0,92.896,300,11744,0.094
monthly_precip_lag_1,March,0,90.87,293,11744,0.094
monthly_precip_lag_1,April,8,123.238,422,11744,0.094
monthly_precip_lag_1,May,18,137.91,760,11744,0.094
monthly_precip_lag_1,June,1,73.066,459,11744,0.094
monthly_precip_lag_1,July,0,30.15,193,11744,0.094
monthly_precip_lag_1,August,0,30.836,228,11744,0.094
monthly_precip_lag_1,September,0,35.04,253,11744,0.094
monthly_precip_lag_1,October,0,35.431,204,11744,0.094
monthly_precip_lag_1,November,1,54.273,432,11744,0.094
monthly_precip_lag_1,December,23,93.327,543,11744,0.094
monthly_precip_lag_2,January,23,93.327,543,11744,0.094
monthly_precip_lag_2,February,3,106.735,300,11744,0.094
monthly_precip_lag_2,March,0,92.896,300,11744,0.094
monthly_precip_lag_2,April,0,90.87,293,11744,0.094
monthly_precip_lag_2,May,8,123.238,422,11744,0.094
monthly_precip_lag_2,June,18,137.91,760,11744,0.094
monthly_precip_lag_2,July,1,73.066,459,11744,0.094
monthly_precip_lag_2,August,0,30.15,193,11744,0.094
monthly_precip_lag_2,September,0,30.836,228,11744,0.094
monthly_precip_lag_2,October,0,35.04,253,11744,0.094
monthly_precip_lag_2,November,0,35.431,204,11744,0.094
monthly_precip_lag_2,December,1,54.273,432,11744,0.094
monthly_precip_lag_3,January,1,54.273,432,11744,0.094
monthly_precip_lag_3,February,23,93.327,543,11744,0.094
monthly_precip_lag_3,March,3,106.735,300,11744,0.094
monthly_precip_lag_3,April,0,92.896,300,11744,0.094
monthly_precip_lag_3,May,0,90.87,293,11744,0.094
monthly_precip_lag_3,June,8,123.238,422,11744,0.094
monthly_precip_lag_3,July,18,137.91,760,11744,0.094
monthly_precip_lag_3,August,1,73.066,459,11744,0.094
monthly_precip_lag_3,September,0,30.15,193,11744,0.094
monthly_precip_lag_3,October,0,30.836,228,11744,0.094
monthly_precip_lag_3,November,0,35.04,253,11744,0.094
monthly_precip_lag_3,December,0,35.431,204,11744,0.094
monthly_tmax,January,5,29.524,38.364,11744,0.094
monthly_tmax,February,6.232,29.907,38.492,11744,0.094
monthly_tmax,March,5.788,29.661,38.7,11744,0.094
monthly_tmax,April,4.12,28.579,37.128,11744,0.094
monthly_tmax,May,2.992,27.803,36.94,11744,0.094
monthly_tmax,June,3.532,27.248,36.624,11744,0.094
monthly_tmax,July,3.008,26.767,35.7,11744,0.094
monthly_tmax,August,3.42,27.448,35.98,11744,0.094
monthly_tmax,September,4.792,28.778,37.472,11744,0.094
monthly_tmax,October,5.184,29.421,37.748,11744,0.094
monthly_tmax,November,4,29.246,37.144,11744,0.094
monthly_tmax,December,3.688,29.051,37.316,11744,0.094
monthly_tmax_lag_1,January,3.688,29.051,37.316,11744,0.094
monthly_tmax_lag_1,February,5,29.524,38.364,11744,0.094
monthly_tmax_lag_1,March,6.232,29.907,38.492,11744,0.094
monthly_tmax_lag_1,April,5.788,29.661,38.7,11744,0.094
monthly_tmax_lag_1,May,4.12,28.579,37.128,11744,0.094
monthly_tmax_lag_1,June,2.992,27.803,36.94,11744,0.094
