variable,year,month,min,mean,max,n_missing,prop_missing
cum_precip_3_months_prior,2008,January,19.6,230.196,903.9,11782,0.095
cum_precip_3_months_prior,2008,February,24.7,272.008,906.2,11782,0.095
cum_precip_3_months_prior,2008,March,7.2,313.083,1062.6,11782,0.095
cum_precip_3_months_prior,2008,April,8.9,350.716,1044.5,11782,0.095
cum_precip_3_months_prior,2008,May,59.8,364.294,1214,11782,0.095
cum_precip_3_months_prior,2008,June,74.5,307.402,1401.1,11782,0.095
cum_precip_3_months_prior,2008,July,19.9,185.084,992.9,11782,0.095
cum_precip_3_months_prior,2008,August,0.3,107.548,641.8,11782,0.095
cum_precip_3_months_prior,2008,September,0,84.811,715.4,11782,0.095
cum_precip_3_months_prior,2008,October,0,107.938,777.3,11782,0.095
cum_precip_3_months_prior,2008,November,1.3,157.462,988.2,11782,0.095
cum_precip_3_months_prior,2008,December,32.9,227.433,979.9,11782,0.095
cum_precip_3_months_prior,2009,January,52.4,254.891,1072.2,11782,0.095
cum_precip_3_months_prior,2009,February,34.2,266.572,833,11782,0.095
cum_precip_3_months_prior,2009,March,9.1,274.521,923.2,11782,0.095
cum_precip_3_months_prior,2009,April,8.5,312.262,979.9,11782,0.095
cum_precip_3_months_prior,2009,May,37.7,334.211,999,11782,0.095
cum_precip_3_months_prior,2009,June,46.9,278.526,1060.2,11782,0.095
cum_precip_3_months_prior,2009,July,16.3,180.679,961.3,11782,0.095
cum_precip_3_months_prior,2009,August,0.4,99.103,566.8,11782,0.095
cum_precip_3_months_prior,2009,September,0,73.494,528.7,11782,0.095
cum_precip_3_months_prior,2009,October,0,92.339,620.8,11782,0.095
cum_precip_3_months_prior,2009,November,0.5,133.334,999.9,11782,0.095
cum_precip_3_months_prior,2009,December,22,206.36,1320.3,11782,0.095
cum_precip_3_months_prior,2010,January,35.5,296.409,1623.4,11782,0.095
cum_precip_3_months_prior,2010,February,36.6,322.321,927.5,11782,0.095
cum_precip_3_months_prior,2010,March,12.3,337.736,952.8,11782,0.095
cum_precip_3_months_prior,2010,April,8.8,349.473,928.8,11782,0.095
cum_precip_3_months_prior,2010,May,71.2,373.767,1104.5,11782,0.095
cum_precip_3_months_prior,2010,June,75.2,325.541,1178.4,11782,0.095
cum_precip_3_months_prior,2010,July,17,224.335,1188.9,11782,0.095
cum_precip_3_months_prior,2010,August,0.4,138.45,943.3,11782,0.095
cum_precip_3_months_prior,2010,September,0,106.351,890.9,11782,0.095
cum_precip_3_months_prior,2010,October,0,99.992,857.7,11782,0.095
cum_precip_3_months_prior,2010,November,0.3,115.291,887.4,11782,0.095
cum_precip_3_months_prior,2010,December,8.9,143.805,687.6,11782,0.095
cum_precip_3_months_prior,2011,January,43.8,204.064,808.3,11782,0.095
cum_precip_3_months_prior,2011,February,14.8,225.287,835.5,11782,0.095
cum_precip_3_months_prior,2011,March,9.2,256.49,969.2,11782,0.095
cum_precip_3_months_prior,2011,April,7.7,302.476,924.2,11782,0.095
cum_precip_3_months_prior,2011,May,48.7,344.2,1564.6,11782,0.095
cum_precip_3_months_prior,2011,June,63.8,314.7,1636.1,11782,0.095
cum_precip_3_months_prior,2011,July,20.1,208.08,1193.1,11782,0.095
cum_precip_3_months_prior,2011,August,0.5,124.563,841.2,11782,0.095
cum_precip_3_months_prior,2011,September,0,93.431,676.6,11782,0.095
cum_precip_3_months_prior,2011,October,0,111.609,706.9,11782,0.095
cum_precip_3_months_prior,2011,November,0.9,146.354,756.5,11782,0.095
cum_precip_3_months_prior,2011,December,31.9,222.353,1072,11782,0.095
cum_precip_3_months_prior,2012,January,43.4,306.679,1120.3,11782,0.095
cum_precip_3_months_prior,2012,February,30,316.995,809.8,11782,0.095
cum_precip_3_months_prior,2012,March,5.4,274.636,910.3,11782,0.095
cum_precip_3_months_prior,2012,April,8.9,227.849,944.9,11782,0.095
cum_precip_3_months_prior,2012,May,35.5,298.117,836.9,11782,0.095
cum_precip_3_months_prior,2012,June,67.3,292.187,1138.9,11782,0.095
cum_precip_3_months_prior,2012,July,20,240.945,1243.3,11782,0.095
cum_precip_3_months_prior,2012,August,0.5,127.102,814.7,11782,0.095
cum_precip_3_months_prior,2012,September,0,100.533,699.7,11782,0.095
cum_precip_3_months_prior,2012,October,0,106.464,758.1,11782,0.095
cum_precip_3_months_prior,2012,November,1.5,142.727,916.4,11782,0.095
cum_precip_3_months_prior,2012,December,24.6,203.41,1306.6,11782,0.095
cum_precip_3_months_prior,2013,January,68.6,299.724,1629.9,11782,0.095
cum_precip_3_months_prior,2013,February,37.6,333.479,1088.9,11782,0.095
cum_precip_3_months_prior,2013,March,9.2,301.705,971.5,11782,0.095
cum_precip_3_months_prior,2013,April,19.3,329.673,913,11782,0.095
cum_precip_3_months_prior,2013,May,63.9,375.125,1252,11782,0.095
cum_precip_3_months_prior,2013,June,108.2,369.826,1787.4,11782,0.095
cum_precip_3_months_prior,2013,July,24.9,226.298,1355,11782,0.095
cum_precip_3_months_prior,2013,August,0.4,110.309,831.2,11782,0.095
cum_precip_3_months_prior,2013,September,0,99.661,894.6,11782,0.095
cum_precip_3_months_prior,2013,October,0,130.156,1090.5,11782,0.095
cum_precip_3_months_prior,2013,November,0.8,147.706,1107.5,11782,0.095
cum_precip_3_months_prior,2013,December,17.1,199.204,717.8,11782,0.095
cum_precip_3_months_prior,2014,January,50.7,268.243,832.6,11782,0.095
cum_precip_3_months_prior,2014,February,25.9,315.923,900.2,11782,0.095
cum_precip_3_months_prior,2014,March,8.8,309.922,951.4,11782,0.095
cum_precip_3_months_prior,2014,April,10.3,284.332,953.3,11782,0.095
cum_precip_3_months_prior,2014,May,48.5,300.484,1219.9,11782,0.095
cum_precip_3_months_prior,2014,June,30.7,270.296,1473.2,11782,0.095
cum_precip_3_months_prior,2014,July,18.1,203.2,1389.8,11782,0.095
cum_precip_3_months_prior,2014,August,0.9,124.613,689.4,11782,0.095
cum_precip_3_months_prior,2014,September,0,97.051,693,11782,0.095
cum_precip_3_months_prior,2014,October,0,114.85,671.6,11782,0.095
cum_precip_3_months_prior,2014,November,1.2,143.024,633.2,11782,0.095
cum_precip_3_months_prior,2014,December,38.7,211.024,1039.1,11782,0.095
cum_precip_3_months_prior,2015,January,50.1,277.249,1171.3,11782,0.095
cum_precip_3_months_prior,2015,February,34,310.521,839.1,11782,0.095
cum_precip_3_months_prior,2015,March,9.1,277.833,951.4,11782,0.095
cum_precip_3_months_prior,2015,April,8.9,264.858,914.5,11782,0.095
cum_precip_3_months_prior,2015,May,70.3,319.218,1074.9,11782,0.095
cum_precip_3_months_prior,2015,June,77.4,321.357,1279.7,11782,0.095
cum_precip_3_months_prior,2015,July,19.8,257.096,1169.4,11782,0.095
cum_precip_3_months_prior,2015,August,1,139.139,871.3,11782,0.095
cum_precip_3_months_prior,2015,September,0,97.116,665.2,11782,0.095
cum_precip_3_months_prior,2015,October,0,98.401,660.7,11782,0.095
cum_precip_3_months_prior,2015,November,0.4,136.644,729.8,11782,0.095
cum_precip_3_months_prior,2015,December,22.8,232.681,1372.6,11782,0.095
cum_precip_3_months_prior,2016,January,64.6,324.417,1562.1,11782,0.095
cum_precip_3_months_prior,2016,February,31.8,391.37,1184.2,11782,0.095
cum_precip_3_months_prior,2016,March,6.3,362.196,1231.4,11782,0.095
