variable,year,min,mean,max,n_missing,prop_missing
c3ann,2030,0,0.056,0.453,12939,0.104
c3ann,2050,0,0.065,0.453,12939,0.104
c3ann,2070,0,0.074,0.453,12939,0.104
c3nfx,2030,0,0.035,0.322,12939,0.104
c3nfx,2050,0,0.042,0.324,12939,0.104
c3nfx,2070,0,0.049,0.327,12939,0.104
c3per,2030,0,0.037,0.491,12939,0.104
c3per,2050,0,0.041,0.496,12939,0.104
c3per,2070,0,0.045,0.502,12939,0.104
c4ann,2030,0,0.069,0.52,12939,0.104
c4ann,2050,0,0.08,0.52,12939,0.104
c4ann,2070,0,0.092,0.529,12939,0.104
c4per,2030,0,0.002,0.033,12939,0.104
c4per,2050,0,0.002,0.034,12939,0.104
c4per,2070,0,0.002,0.034,12939,0.104
human_pop,2030,0,108.988,29492.143,18160,0.146
human_pop,2050,0,151.461,33404.18,18160,0.146
human_pop,2070,0,184.904,34025.16,18161,0.146
pastr,2030,0,0.196,0.891,12939,0.104
pastr,2050,0,0.188,0.871,12939,0.104
pastr,2070,0,0.168,0.862,12939,0.104
primf,2030,0,0.02,0.853,12939,0.104
primf,2050,0,0.014,0.753,12939,0.104
primf,2070,0,0.007,0.743,12939,0.104
primn,2030,0,0.173,0.993,12939,0.104
primn,2050,0,0.148,0.974,12939,0.104
primn,2070,0,0.137,0.946,12939,0.104
range,2030,0,0.119,0.903,12939,0.104
range,2050,0,0.113,0.898,12939,0.104
range,2070,0,0.102,0.877,12939,0.104
secdf,2030,0,0.034,0.939,12939,0.104
secdf,2050,0,0.038,0.926,12939,0.104
secdf,2070,0,0.045,0.925,12939,0.104
secdn,2030,0,0.206,0.993,12939,0.104
secdn,2050,0,0.212,0.976,12939,0.104
secdn,2070,0,0.218,0.948,12939,0.104
secma,2030,1,27.233,580.5,12939,0.104
secma,2050,1,24.803,600.5,12939,0.104
secma,2070,1,22.502,620.5,12939,0.104
secmb,2030,0,1.023,12.651,12939,0.104
secmb,2050,0,1.034,12.666,12939,0.104
secmb,2070,0,0.908,10.004,12939,0.104
urban,2030,0,0.004,0.182,12939,0.104
urban,2050,0,0.007,0.202,12939,0.104
urban,2070,0,0.008,0.216,12939,0.104
