variable,year,min,mean,max,n_missing,prop_missing
c3ann,2000,0,0.031,0.225,12939,0.104
c3ann,2001,0,0.031,0.238,12939,0.104
c3ann,2002,0,0.032,0.262,12939,0.104
c3ann,2003,0,0.033,0.268,12939,0.104
c3ann,2004,0,0.033,0.268,12939,0.104
c3ann,2005,0,0.033,0.268,12939,0.104
c3ann,2006,0,0.034,0.268,12939,0.104
c3ann,2007,0,0.034,0.278,12939,0.104
c3ann,2008,0,0.035,0.295,12939,0.104
c3ann,2009,0,0.036,0.297,12939,0.104
c3ann,2010,0,0.038,0.293,12939,0.104
c3ann,2011,0,0.041,0.321,12939,0.104
c3ann,2012,0,0.044,0.363,12939,0.104
c3ann,2013,0,0.046,0.389,12939,0.104
c3ann,2014,0,0.048,0.428,12939,0.104
c3ann,2015,0,0.051,0.46,12939,0.104
c3ann,2016,0,0.051,0.458,12939,0.104
c3ann,2017,0,0.051,0.457,12939,0.104
c3ann,2018,0,0.052,0.455,12939,0.104
c3ann,2019,0,0.052,0.454,12939,0.104
c3ann,2020,0,0.053,0.452,12939,0.104
c3ann,2021,0,0.053,0.452,12939,0.104
c3ann,2022,0,0.053,0.452,12939,0.104
c3nfx,2000,0,0.021,0.231,12939,0.104
c3nfx,2001,0,0.022,0.239,12939,0.104
c3nfx,2002,0,0.022,0.239,12939,0.104
c3nfx,2003,0,0.023,0.239,12939,0.104
c3nfx,2004,0,0.023,0.252,12939,0.104
c3nfx,2005,0,0.023,0.252,12939,0.104
c3nfx,2006,0,0.023,0.252,12939,0.104
c3nfx,2007,0,0.023,0.253,12939,0.104
c3nfx,2008,0,0.024,0.293,12939,0.104
c3nfx,2009,0,0.025,0.302,12939,0.104
c3nfx,2010,0,0.026,0.311,12939,0.104
c3nfx,2011,0,0.026,0.303,12939,0.104
c3nfx,2012,0,0.028,0.315,12939,0.104
c3nfx,2013,0,0.028,0.318,12939,0.104
c3nfx,2014,0,0.029,0.321,12939,0.104
c3nfx,2015,0,0.03,0.324,12939,0.104
c3nfx,2016,0,0.031,0.323,12939,0.104
c3nfx,2017,0,0.031,0.323,12939,0.104
c3nfx,2018,0,0.031,0.323,12939,0.104
c3nfx,2019,0,0.032,0.322,12939,0.104
c3nfx,2020,0,0.032,0.322,12939,0.104
c3nfx,2021,0,0.032,0.322,12939,0.104
c3nfx,2022,0,0.033,0.322,12939,0.104
c3per,2000,0,0.024,0.383,12939,0.104
c3per,2001,0,0.024,0.389,12939,0.104
c3per,2002,0,0.025,0.4,12939,0.104
c3per,2003,0,0.026,0.416,12939,0.104
c3per,2004,0,0.026,0.424,12939,0.104
c3per,2005,0,0.026,0.424,12939,0.104
c3per,2006,0,0.026,0.43,12939,0.104
c3per,2007,0,0.026,0.438,12939,0.104
c3per,2008,0,0.027,0.452,12939,0.104
c3per,2009,0,0.028,0.463,12939,0.104
c3per,2010,0,0.029,0.469,12939,0.104
c3per,2011,0,0.03,0.477,12939,0.104
c3per,2012,0,0.031,0.479,12939,0.104
c3per,2013,0,0.032,0.488,12939,0.104
c3per,2014,0,0.033,0.493,12939,0.104
c3per,2015,0,0.034,0.499,12939,0.104
c3per,2016,0,0.035,0.497,12939,0.104
c3per,2017,0,0.035,0.495,12939,0.104
c3per,2018,0,0.035,0.494,12939,0.104
c3per,2019,0,0.035,0.492,12939,0.104
c3per,2020,0,0.035,0.49,12939,0.104
c3per,2021,0,0.035,0.49,12939,0.104
c3per,2022,0,0.035,0.49,12939,0.104
c4ann,2000,0,0.037,0.277,12939,0.104
c4ann,2001,0,0.038,0.286,12939,0.104
c4ann,2002,0,0.038,0.285,12939,0.104
c4ann,2003,0,0.04,0.288,12939,0.104
c4ann,2004,0,0.04,0.294,12939,0.104
c4ann,2005,0,0.04,0.295,12939,0.104
c4ann,2006,0,0.04,0.298,12939,0.104
c4ann,2007,0,0.041,0.301,12939,0.104
c4ann,2008,0,0.041,0.306,12939,0.104
c4ann,2009,0,0.043,0.314,12939,0.104
c4ann,2010,0,0.047,0.332,12939,0.104
c4ann,2011,0,0.049,0.363,12939,0.104
c4ann,2012,0,0.053,0.411,12939,0.104
c4ann,2013,0,0.055,0.44,12939,0.104
c4ann,2014,0,0.059,0.484,12939,0.104
c4ann,2015,0,0.062,0.52,12939,0.104
c4ann,2016,0,0.062,0.52,12939,0.104
c4ann,2017,0,0.063,0.52,12939,0.104
c4ann,2018,0,0.063,0.52,12939,0.104
c4ann,2019,0,0.064,0.52,12939,0.104
c4ann,2020,0,0.065,0.52,12939,0.104
c4ann,2021,0,0.065,0.52,12939,0.104
c4ann,2022,0,0.065,0.52,12939,0.104
c4per,2000,0,0.001,0.026,12939,0.104
c4per,2001,0,0.001,0.026,12939,0.104
c4per,2002,0,0.001,0.027,12939,0.104
c4per,2003,0,0.001,0.028,12939,0.104
c4per,2004,0,0.001,0.029,12939,0.104
c4per,2005,0,0.001,0.029,12939,0.104
